Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
100110100110010111100110100000011010001001111010000010101000,458,0.392117256393298,14063.301109662298,0.17708598834037345,0.03888888888888889,0.86,0.0,0.210313515834132,0.74
011000110010100001011011101101101011010011001010111010011000,0,0.34636112213403875,15983.649522499187,0.09140380844376643,0.061111111111111116,0.9800000000000001,0.0,0.2738951530067594,1.06
100101110100000010011011010000000001000111011110000001000000,3536,0.5111349647266313,10136.187150690948,0.20151022930234114,0.01111111111111111,0.58,0.0,0.129170414124842,0.22000000000000003
010101100010000010001111000000000001000101011110000000000000,1504,0.4559237433862433,8364.22275753463,0.21446267378264133,0.006944444444444444,0.25,0.0,0.13974819590423138,0.05
100101111101010010011111000000000001010111111111000001000000,2600,0.5274905202821869,12768.94176452802,0.22342706328409942,0.01111111111111111,0.82,0.0,0.23701449456033918,0.3
110001001101000010010001000010101011010001011110011001111100,0,0.4098067611882716,13092.611814021378,0.1096056910656256,0.05,0.5,0.0,0.14502133113845606,0.78
101100110100000010011111000000000000000110111110000000000000,1044,0.4564437610229276,8974.27888922824,0.2703989645826386,0.009259259259259259,0.39999999999999997,0.0,0.23505146401199992,0.39999999999999997
100101100111110010011110000000000011000110111110100001100010,1102,0.5150467702821868,11986.053096151863,0.18950622165285158,0.02222222222222222,0.6,0.0,0.17992454044362255,0.6599999999999999
100101100111110010011111000000000011000110011110000001000000,1304,0.5160243165784832,11076.929308385166,0.19734874725545987,0.01111111111111111,0.72,0.0,0.18080016660407722,0.26
001110100000000001100101111001110000110001010010011010110100,406,0.34269730066413134,14034.935816357483,0.02950228332451823,0.03333333333333333,0.6399999999999999,0.0,0.14794419516060958,1.16
100101110100000010001111000000000011000110111110000001000101,1810,0.503763668430335,10653.80861070292,0.18369315205825526,0.016666666666666666,0.45999999999999996,0.0,0.12063145136332351,0.3
001101101110110010011011000000000011000110111110000000000000,886,0.49772686287477946,11221.490865636482,0.24784085279461054,0.020833333333333332,0.9750000000000001,0.0,0.2704447994809284,0.7
100101110101000010011111100000000001010111011110000001000000,2784,0.5228993165784832,11150.243803088033,0.20879573836705984,0.01111111111111111,0.7,0.0,0.18076824642732708,0.45999999999999996
100001100110010001100000110000010110010100011110100001000000,840,0.3669594686948853,9048.121750746865,0.09128608747713567,0.03333333333333334,0.0,0.0,0.022189379666036558,0.78
100101110101010010001111001000000001000111011111000001001000,2486,0.5280023258377424,12336.499772402667,0.20750685158151852,0.016666666666666666,0.72,0.0,0.197485445214318,0.4
100101000000000000010011000000010000000100011110000000000010,2080,0.3956712356701939,4628.978273148074,0.14394473536878885,0.01111111111111111,0.0,0.07755305654226509,0.0,0.20000000000000004
100000010100000010011111110001110000111010111011110001000001,680,0.4366250110229276,11973.959562176326,0.0,0.03333333333333333,0.9,0.0,0.15022459947899577,0.8
100100010100000000011111000001000000000110111110100000000000,1222,0.4565188271604938,7714.752077294919,0.1555688520344303,0.01111111111111111,0.27999999999999997,0.0,0.05265889287592904,0.4
110010000101010001000100010000001111011101101010001111100111,0,0.38185374779541437,14612.711224382336,0.19979461902286483,0.04444444444444444,1.32,0.0,0.19655772358988327,0.82
100111101111101000011011010000000011010001011011001100101110,636,0.4535215057319223,14731.634787365057,0.20246919731453678,0.05,0.9,0.0,0.24986175170121552,1.12
010101101101101010010011000000000011000110111110000001000000,1786,0.5101623952821869,11772.36056861491,0.2001384364032283,0.01111111111111111,0.6199999999999999,0.0,0.200888869816515,0.5199999999999999
100100010100010011011011000000000011000110111110001000000000,1070,0.47001852954144613,9503.435061432543,0.1555688520344303,0.01111111111111111,0.76,0.0,0.139316241539044,0.6
100100110100000010011111000000000000000110111110000000000000,836,0.4551680665784832,7905.661805620687,0.2602429390441626,0.009259259259259259,0.3,0.0,0.17787090057435662,0.2333333333333333
100100101111101000010011010000000011000111111110100001100010,920,0.4743786651234567,12886.03116282775,0.20054796159159918,0.02777777777777778,0.42000000000000004,0.0,0.17838841214369994,0.9800000000000001
100101110110000010011111000000000001000110011110000001000000,2690,0.5042599647266313,9858.055770179304,0.18601389930450268,0.005555555555555555,0.48,0.0,0.14085245734187996,0.08
100101100000000000010011000000100000000100011110000000000000,4562,0.42377274581128743,5314.432971902535,0.1806882960834276,0.0,0.0,0.0,0.0,0.19999999999999998
000010010100010010100100010010000100011100110101000100111100,0,0.28604996693121687,10866.422552747583,0.16312213503679093,0.03888888888888889,0.3,0.0,0.042163432513664514,0.2
100100010000000010011111000000000011000110111110000001000000,1276,0.47088913139329797,8608.219929262797,0.10374449797728025,0.01111111111111111,0.48,0.0,0.10672254034461397,0.2
100101100001010010001110000000000001010111011110110001000000,4964,0.5228993165784832,10867.203850030175,0.18008579058638738,0.016666666666666666,0.66,0.0,0.14444599259505267,0.52
010000010110000000011111000000010000000100111000001000000000,770,0.35055461722883596,5654.470187573492,0.044410385492255885,0.01111111111111111,0.0,0.07755305654226509,0.0,0.27999999999999997
100101100111110000011111000000000010000110011110000001000000,1866,0.49917134038800703,9861.495771109923,0.18914245442510352,0.01111111111111111,0.27999999999999997,0.0,0.13204164837913074,0.26
100101110100000010011111000000000000000100011110000000100000,1892,0.4548040784832451,7837.2920928261365,0.21936868916476585,0.006944444444444444,0.275,0.0,0.09057448054324195,0.175
010101010110100000011011000000000011000110111110000001000101,1840,0.48664587742504406,9708.050140850286,0.18724352395513902,0.016666666666666666,0.27999999999999997,0.0,0.08151716973511017,0.48
100101110001010000011011000000000000000100011110000001000000,2910,0.4801386022927689,7702.783014860232,0.1884514012586228,0.006944444444444444,0.0,0.0,0.05398755630851769,0.22500000000000003
100101100000000001011111000000000000000100011110000000000000,2324,0.45806313932980597,6950.242953437186,0.2763971539732614,0.009259259259259259,0.0,0.0,0.07272120756977146,0.26666666666666666
100000000000000000010101000000000000000100011010000001000000,3268,0.3221790564373897,3792.1174899595053,0.06158282206254184,0.0,0.0,0.0,0.0,0.2
110011111101000011110101101111000011110010001010110101010110,0,0.42818473737874774,17688.929002896184,0.23936690843906794,0.05555555555555556,1.1199999999999999,0.0,0.3017649322095073,1.3399999999999999
101101101111110010011111011000010011000110111110100000001000,912,0.5018523258377425,15112.176488916337,0.21218273028540707,0.04444444444444444,0.9400000000000001,0.0,0.2728515990751938,1.26
100101100100000010001111001000000011000110011110000001000000,1930,0.5037481591710757,9967.236386432087,0.18304612603367415,0.01111111111111111,0.48,0.0,0.09934363588973137,0.33999999999999997
010101100100100010011010000000000001000111011111000001000100,4096,0.5187738536155202,10313.285265508168,0.20494910255114895,0.01111111111111111,0.72,0.0,0.12140446356395666,0.36
100100100010010010011111000000000000000110111110000001001111,868,0.4894720017636684,10440.293883630162,0.1748061271931309,0.034722222222222224,0.475,0.0,0.1703496234805268,0.5
110010110101010010100111110001110000111111001110011101000111,520,0.4417654045414461,17020.679132455603,0.22433929655941892,0.03888888888888888,1.42,0.0,0.2929921828245296,1.34
