Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
001111010011011000100111011010111010100110111101101000001110,0,0.43353331542107576,17867.969401606202,0.17673815079810232,0.05555555555555556,1.26,0.0,0.3347059737219218,1.52
001101101111000000011110010101000100010100010000010000000110,702,0.3822453373015873,10665.71437705805,0.22054343643580498,0.04444444444444444,0.4,0.0,0.10746580977463424,0.26000000000000006
000101100101110000011110010001000000010100011110000000000001,2550,0.49019812610229274,8596.607138749823,0.18063537337794633,0.01111111111111111,0.0,0.0,0.03322851127753586,0.3
000101101001110010011110000000000100000111111011100000000001,2612,0.5074210758377424,11005.655809236527,0.17424201125054825,0.02222222222222222,0.8,0.025282259693505782,0.19072421286387892,0.5
010000111010111000111000101000010101101000110101000111000011,0,0.33349141727292764,13212.211093267326,0.07808420769232027,0.03888888888888888,0.54,0.0,0.1084783777353056,0.86
100101100001110000001110000000000000010100011111000000000001,4286,0.4830842372134039,7611.132467621013,0.20017549294027542,0.006944444444444444,0.0,0.0,0.07439929148599454,0.425
110101100001110000011110000001010010010100011111000000010001,3952,0.4962786816578483,9510.164698924083,0.16822224479179465,0.02222222222222222,0.0,0.0,0.07338864600121746,0.41999999999999993
010001011110000110001011100001001000100110010000001000000011,808,0.3978134369488535,10260.469014969425,0.1257351382168173,0.03333333333333334,0.58,0.0,0.089643635936933,0.4600000000000001
000101100001100000011110010001000000010100011110000000100001,4330,0.48974329805996464,8312.896984523206,0.14949989105566358,0.01111111111111111,0.0,0.0,0.02137866620799251,0.36000000000000004
100101100101000000111010000000000100010101111010000000000001,1394,0.4785655202821869,8761.738554799354,0.18341939851306496,0.01111111111111111,0.0,0.025282259693505782,0.09560537336146424,0.38
100000111001101011111010010111001001000001110010110101110111,0,0.31296456128747796,16307.466137301884,0.19816640792981596,0.06666666666666668,1.1600000000000001,0.0,0.2559821666983996,0.8200000000000001
000101000101100000011010010001000000010100011000000000010000,1964,0.41647601962081127,6823.8174373077545,0.14381621788068275,0.016666666666666666,0.0,0.08438902461479594,0.0,0.2
100101101101100000011111111100000100010111111011110011001110,992,0.5135217702821869,16111.342722251073,0.33920108210852645,0.06666666666666668,0.96,0.0,0.24149114806929878,1.28
000011010111110010010110111010000110000000010000000000010011,498,0.3267304355847663,9672.088620589648,0.0,0.03333333333333333,0.74,0.0843608438405787,0.16420867097118544,0.5599999999999999
100101101101100000111110010001000100010101111011010101010011,516,0.5026988536155202,13496.558211712292,0.275674490670652,0.04444444444444444,0.0,0.0,0.17024483085145886,0.9400000000000001
100111111111100011100110111000000100010111111011110011001111,742,0.5218651730599646,18669.493121732867,0.27882669748427513,0.055555555555555546,0.9200000000000002,0.0,0.36394092979084086,1.3800000000000001
001000010101110000000110110101000100000101111011110000101000,372,0.4129630235890652,10816.864956147743,0.18277958173240963,0.04444444444444444,0.0,0.0,0.06104623121740066,1.02
000101100101100011111110010001000100010111111011111001000001,2710,0.5287662147266313,15760.940868226715,0.23082999921670036,0.02777777777777778,0.8800000000000001,0.0,0.252468639651196,1.14
001111001111110000011101100001000000100110011000000000000110,1034,0.4463026151895943,11752.59502010087,0.1774640147468862,0.02777777777777778,1.3199999999999998,0.0,0.11604791554652225,0.5800000000000001
000101100101110000001110010000000000110100011110000000000001,3426,0.47700368165784834,7692.251390004868,0.18497279715782586,0.01111111111111111,0.0,0.0,0.03322851127753586,0.33999999999999997
011100111110100000001001010101001100110011111000001110111001,0,0.4120625358245149,15514.306715814364,0.2656908131530601,0.061111111111111116,1.1199999999999999,0.0,0.21850318439104494,1.04
000101100000100000011011010001000000010100111110000010000001,2498,0.4843954144620811,9432.71178636843,0.14345939917072903,0.01111111111111111,0.13999999999999999,0.0,0.013824323918590545,0.32
000101100101100011011110010001000100010111011011100000100001,2992,0.5274905202821869,12484.43930794752,0.22973859886971382,0.02222222222222222,0.8600000000000001,0.0,0.19283558782027488,0.76
100101100110100000111001100001000000100110011001000000000110,962,0.4451783757716049,10094.502267442753,0.163477144825612,0.02222222222222222,0.52,0.0,0.08310446861699011,0.36
000101100010100000111111010000100000100110011000000000000110,1068,0.43698233989197527,9033.506230790335,0.12179413635889658,0.02222222222222222,0.42000000000000004,0.0,0.06957694037332093,0.38
100101101101100001010110010001000100010101111011110011000100,1388,0.5016892802028219,13309.791800486875,0.21739200313874624,0.03333333333333333,0.32,0.0,0.14326634705031036,0.9199999999999999
100101100001100000011110010001000000010100111110000000000001,2786,0.48974329805996464,8825.739445683339,0.15687685164477927,0.01111111111111111,0.0,0.0,0.05182184555482726,0.48
010001011110000100001001100001001000100110010000000000001110,750,0.3608514040454144,9075.003690187219,0.10767605425155616,0.05,0.27999999999999997,0.0,0.024705783204465308,0.31999999999999995
000101011111110011100110111001000100010111111011110011001011,1048,0.5106846175044091,17544.804264012288,0.23363612159008867,0.05,0.9600000000000002,0.0,0.34949893089294476,1.1600000000000001
111101000100001001100010011010011111000100110111001101010101,310,0.4157957534171075,16321.276518468261,0.27515627632507944,0.05,0.9199999999999999,0.0,0.25906284870078194,1.3
100101101101110000001110010001000100010110111111100000001001,1638,0.5057792107583774,12324.54478498843,0.20770862347946095,0.03888888888888889,0.48,0.0,0.14959078918809984,0.9199999999999999
100101101101100000001000110000100000100100011000000000010000,1154,0.40735272266313927,7331.834641812651,0.15833751638079596,0.02777777777777778,0.0,0.08438902461479594,0.06817832743602291,0.41999999999999993
000101110111000000011110010000100000100100011010000000010000,2182,0.4558538800705466,7393.269379660658,0.1498347710693618,0.016666666666666666,0.0,0.08438902461479594,0.06973078937874816,0.31999999999999995
000001000001100000011110010000100000000100011110000000000001,3686,0.4227846671075837,5724.912227037908,0.0851197843918925,0.01111111111111111,0.0,0.0,0.0,0.12000000000000002
100111101011010001001111110100000010101111010000000011001011,418,0.4400870480599647,15898.31643943174,0.2421645480091618,0.05,1.16,0.0,0.2843256908884577,0.68
100101101101100000011110010001000100010101111011110011000110,1320,0.5085903218694885,13137.638992674785,0.22497492983421186,0.04444444444444444,0.33999999999999997,0.0,0.18189662725152517,0.9199999999999999
010101100111100000111110010001000000010100011111000000000101,2798,0.49680599647266305,10547.68374357905,0.19225204037019528,0.016666666666666666,0.0,0.0,0.09941607312449621,0.42000000000000004
000000000001100000011010010001000000010100011110000000000001,3688,0.40398913139329795,5332.105079428104,0.09128608747713567,0.01111111111111111,0.0,0.0,0.0,0.16
000101100101100010011110010001000100010100111110000010100001,2440,0.5046301036155202,11551.301355484888,0.18101054648945844,0.016666666666666666,0.38,0.0,0.08466678115978994,0.5
000101100101100010011110010001000100010110111111101000000001,2352,0.5218912147266312,12760.278970914653,0.19117460872900738,0.02222222222222222,0.7,0.0,0.1522549189932763,0.9799999999999999
000101100101100010011110010001000100010100011110000000000001,2980,0.49118026895943556,9495.414836057767,0.18063537337794633,0.016666666666666666,0.3,0.0,0.07084245724119939,0.36
100101100001010000001110010000000000110100011110000001000001,3944,0.49019812610229274,8439.65611457356,0.1608391023131467,0.01111111111111111,0.0,0.0,0.037997521636236715,0.38
100101101111100000111101110001000100010111111011110000010000,818,0.4851515817901234,13203.795786270519,0.20813474098648296,0.04444444444444444,0.62,0.0,0.185822974254979,1.0400000000000003
100101100101100000000110110101010100000101111011010101010011,792,0.4652984733245149,12539.006840416187,0.35298979428868393,0.05,0.0,0.0,0.13856431337342962,0.9199999999999999
010000000010100000110101100101001000100110010000000000001110,894,0.312032277888007,7856.516102497031,0.11673224210212978,0.04444444444444444,0.26,0.0,0.0,0.45999999999999996
100101100001110010011110000000000000010110111111100000000001,4804,0.5074210758377424,10189.910064191281,0.20880114235541025,0.013888888888888888,0.65,0.0,0.21369477092193667,0.7999999999999999
000101100101100000001110010010000000100110011011100000000001,2510,0.4888382054673721,9397.356363214301,0.16391149264062155,0.016666666666666666,0.5800000000000001,0.0,0.09376535597581495,0.5399999999999999
101010111100110100000110101011011001000011010101111101011100,0,0.35787006930665777,16633.093654241944,0.18787062072248667,0.06666666666666668,1.2999999999999998,0.0,0.25032651878104717,0.9
000101100000100000011110010001001000010111111011110001000001,2106,0.4963993827160494,11902.498487892206,0.15206399454285408,0.03333333333333333,0.62,0.0,0.09617594771317386,0.5599999999999999
000101100000100010011110010001000100010110011110100000000001,4366,0.5072845017636685,9714.739742340293,0.15012596667669037,0.02222222222222222,0.6,0.0,0.08117550773950637,0.5799999999999998
000101100101100010011110010001000100010111111011100000000000,2738,0.5145349647266313,11601.57451661878,0.1896151418615835,0.02222222222222222,0.82,0.0,0.16701840495437328,0.76
000101100101110000011110010001000000010111111011100000000001,2502,0.5057792107583774,11031.37379315079,0.1896151418615835,0.016666666666666666,0.64,0.0,0.12940445899070974,0.6799999999999999
100101100001010010011110000001000100010111111011100000010000,2632,0.507451631393298,11427.959259823647,0.16548144701690432,0.02222222222222222,0.82,0.0,0.1718827807848091,0.7000000000000001
100100011101100000111110011001000100010101111011010000101010,904,0.4667481591710758,12262.971913485804,0.17968370401765932,0.044444444444444446,0.13999999999999999,0.0,0.08157626615121102,1.2200000000000002
000101101101100000011110010001000100010110111111100000000001,1586,0.5047970679012346,10999.557405390078,0.20434731278843468,0.02777777777777778,0.52,0.0,0.13879342181905485,0.76
001001111010111010110001100101001111111101100001001100100111,0,0.2721400821208113,18121.765707594164,0.2678604784040578,0.055555555555555546,0.7799999999999999,0.0,0.3611760863880337,1.08
100101101101100000010000010001001001000110010000000001010111,676,0.37131469356261015,10012.278989432929,0.13221888443603197,0.03888888888888888,0.13999999999999999,0.0,0.06817832743602291,0.38
111111010001101001111101101000011110000001111000010001001010,0,0.41368132716049383,15770.19702337915,0.12294450202628134,0.061111111111111116,1.14,0.0,0.22888100601821035,0.86
010101100010100000111110010001000100010110111110000000000001,1372,0.49297550705467374,10512.027697547423,0.1644240325342221,0.016666666666666666,0.4,0.0,0.10841812807207245,0.45999999999999996
000101100101100010011110010001000100010110111011100000000100,2376,0.5084238536155203,11369.206259712399,0.1661270991471602,0.02777777777777778,0.72,0.0,0.14689605246480267,0.76
010101100101100000111110010000010101110100100010011010110010,610,0.4114477292768959,12113.415240258208,0.1346851979408729,0.03888888888888888,0.26,0.0,0.10810645404379673,1.22
100101100101100000111110000100001101100101011111110111000001,650,0.5040331790123456,13975.218480328813,0.3730662085657104,0.04444444444444444,0.58,0.0,0.1649289937429664,0.5399999999999999
000001100110100000101010010001000001000110010000100000010000,776,0.3508218694885361,7914.682082381158,0.026335583784767747,0.02222222222222222,0.16,0.0,0.0019668105794672826,0.41999999999999993
000101100101100000001110010000000000000100011110000000010001,2366,0.45404843474426804,6902.633798932043,0.17446907029270314,0.016666666666666666,0.0,0.0,0.03322851127753586,0.28
100011100011011110011111110100000010101101011111000101110110,402,0.4880505401234568,16996.395325264413,0.34037895907956145,0.05,1.34,0.0,0.3031553888539076,1.42
010101101100100000111110010001000000010100011110000000000001,1742,0.4840022927689594,9248.931272716693,0.19537800146436832,0.016666666666666666,0.0,0.0,0.04391947295200699,0.38
100100011101100000111110010000000100010101111011010101010011,736,0.47155302028218693,11480.591936849885,0.255975950858391,0.044444444444444446,0.0,0.0,0.10206650341543595,0.8200000000000001
000101100000100000011110010000000100010111111011100001000011,2708,0.4963993827160494,10790.048503182657,0.15206399454285408,0.02777777777777778,0.6799999999999999,0.0,0.09617594771317386,0.7
000000010101110100000110011001000100010111011011110011001011,544,0.44062674713403865,12743.697975819116,0.18371389190849324,0.03888888888888889,1.16,0.0,0.17096433443149175,0.9
100101000101100000011010010001000100010100111110000000000001,2040,0.47268820546737206,8477.936932842389,0.18497523005653035,0.016666666666666666,0.0,0.0,0.029588537057287156,0.62
000100100000100000011111010000100100010100111110000000010001,2252,0.43773589065255725,7781.108750023799,0.09166126058864779,0.02222222222222222,0.0,0.0,0.020781947988705553,0.36
000000000001100000011110010000100000000100010010000000010000,2764,0.321360014329806,3796.7487925594364,0.013434857554956148,0.016666666666666666,0.0,0.08438902461479594,0.0,0.13999999999999999
000101100101100011011110010001000100010111011011100000100011,3606,0.5274905202821869,13294.089104185372,0.22973859886971382,0.02777777777777778,0.8600000000000001,0.0,0.19283558782027488,0.86
100101100010100000111110010000100000100110011001000000000110,934,0.43698233989197527,9287.532815076029,0.13450150774562786,0.02222222222222222,0.5599999999999999,0.0,0.07602363056839481,0.5
000000101010011010011111010010101010100001110011001111011011,390,0.3938472332451498,15483.839386519143,0.1057151509959841,0.061111111111111116,1.38,0.0,0.2756027005531071,0.82
000000000010100000001110010001000100010101111011110011010010,1094,0.4210126212522045,9386.62200073293,0.09349894317865612,0.03888888888888888,0.38,0.0,0.10903933021410812,0.62
000111100101100010111110011001000100010111111011110001000001,2384,0.5287662147266313,15995.816576877862,0.19661835161469673,0.02777777777777778,0.96,0.0,0.24712462813966168,1.28
000000000001100000011110010001100000010100111110000000010000,2346,0.4159426036155202,6531.650100894148,0.09166126058864779,0.016666666666666666,0.0,0.08438902461479594,0.013824323918590545,0.22000000000000003
101101011001110011100110111100000100010101110101000111000011,342,0.41497476507385356,16626.45630168414,0.3608940457416259,0.03888888888888889,0.9199999999999999,0.0,0.26106148322538913,1.1199999999999999
100101100101100000111000110000100000100100011010000000010000,1410,0.42076858327821864,7706.150421880948,0.15113837275368516,0.02222222222222222,0.0,0.08438902461479594,0.04780552949539918,0.45999999999999996
100001100101100000111110010001001000100111010000000000000110,466,0.35870088734567895,9990.883639632588,0.07580283847281113,0.03333333333333334,0.4,0.0,0.03253556531581959,0.44000000000000006
100001100101100000111011000010111101101100111110111111011010,382,0.46939561287477943,16209.338251730554,0.1983879076459178,0.06666666666666668,1.36,0.0,0.25647635358384363,1.58
010000000001100000011110000000000000000100011110000000000001,4524,0.3775027226631392,4189.413172551802,0.10639973048986562,0.006944444444444444,0.0,0.0,0.0,0.1
010101100101100010111110010001000100010111111011110101000011,2616,0.5274905202821869,14972.728243899264,0.2766556907870269,0.03888888888888889,0.72,0.0,0.2460527191278305,1.0000000000000002
110011010010100111011000110001000010110001010100001100010001,0,0.3485942942570546,12662.308037574861,0.115514480385114,0.03333333333333333,0.82,0.0,0.12108023977901539,0.5800000000000001
000101101101100100011110010001000100010111111011110001000001,1806,0.5116720679012345,13512.057816249999,0.28797517240693626,0.03333333333333334,0.58,0.0,0.15612070423296634,0.8
010101111111110011100110111100000100010111110101010100010010,350,0.41917172687940907,16143.095706010106,0.3384467933655288,0.05,0.74,0.0,0.2525301023153673,1.24
100101101101100000111110010001010011011111010011000001011110,454,0.4752033179012345,14489.021752929766,0.214499556629585,0.05555555555555556,0.9,0.0,0.1856154349166345,1.02
000000000011011010011110010001000100110101111011110011001011,600,0.4481122795414461,12767.728606093708,0.10740244770732446,0.044444444444444446,0.9400000000000001,0.0,0.23679736331435638,0.86
000101100100100010011110000000000000010110111111100000000000,2750,0.4882465388007054,9141.777563717294,0.23413212830202892,0.013888888888888888,0.65,0.0,0.1487830096446756,0.65
000101100100100010011110000000000000010110111111100000000001,2682,0.4992317239858906,9403.653832457414,0.23413212830202892,0.013888888888888888,0.625,0.0,0.1487830096446756,0.6499999999999999
010000000010100000111110010001000010100110001000000000000001,1014,0.37874434386022926,6951.40474996368,0.06468398052057098,0.016666666666666666,0.44000000000000006,0.0,0.0021184521899214746,0.34
000101100101100010011110010001000100010111111011100001000001,4796,0.5274905202821869,12920.898058290986,0.1896151418615835,0.02222222222222222,0.78,0.0,0.16701840495437328,0.76
000101100001100010011110000000000000010110111111100000000001,4878,0.5074210758377424,9565.817788182614,0.2000489080084058,0.013888888888888888,0.6000000000000001,0.0,0.17550634240466623,0.525
110001011001001011011101110011100000010101001101010010010100,0,0.42940305335097,14669.895045299463,0.1521081565114867,0.03888888888888889,0.8399999999999999,0.0,0.18859383361930365,0.74
100101001101110000011110011001000100010101110011110010000110,1064,0.456877127425044,12708.978800054561,0.1823898842164935,0.044444444444444446,0.34,0.0,0.10653248922087048,1.1
010101100101000000111110010001001000100100011000000000010000,1256,0.437571092372134,8823.867535946058,0.14730939591136144,0.02777777777777778,0.0,0.08438902461479594,0.047889288095466775,0.38
001101111111110010111110010001000100000110011010000000010000,1606,0.49787362213403874,12779.615129892489,0.17030805833207516,0.02777777777777778,0.9800000000000001,0.08438902461479594,0.2010403333052107,0.45999999999999996
000101100001110000011110010001000000010100011110001000010001,3158,0.4912372464726631,8962.542831419047,0.14949989105566358,0.016666666666666666,0.0,0.0,0.02137866620799251,0.4
000101100000100000011110010000000100010100011110000001000011,3234,0.48249283509700175,8207.208500387424,0.14308422605921692,0.02222222222222222,0.0,0.0,0.0,0.38
000000000110100000111100100001000011010000001000010010110000,862,0.35294520778218685,7577.733469114502,0.0,0.02777777777777778,0.13999999999999999,0.0,0.010077174551939053,0.56
100101101101100000001111110100000010101101011111000101110110,546,0.49005946869488526,14150.765338055186,0.345551711252213,0.05555555555555556,0.33999999999999997,0.0,0.17743635467098384,1.06
100101101111000000011110010001000100000110010100000000000001,1270,0.4241989197530863,9403.73675817689,0.1801343506267699,0.02222222222222222,0.13999999999999999,0.0,0.08964702654180515,0.3
000101111111110011100110111001000000010101111110000000000001,1354,0.49497390321869483,14058.610209170385,0.2341557660806087,0.016666666666666666,0.45999999999999996,0.0,0.23772219156231156,0.9
000101100000100000011110010000000010010100011110001000000001,3372,0.4708416776895943,7240.937638757892,0.14308422605921692,0.016666666666666666,0.0,0.0,0.0,0.43999999999999995
000101000101100000011000110000100100010110011100000000000001,1376,0.4403855268959435,8127.350434627593,0.18477093747627357,0.02222222222222222,0.42000000000000004,0.0,0.004942218128037022,0.33999999999999997
000000000010100000111110010001000100010111111011110011001110,830,0.4373176036155202,11511.510728600755,0.1575689626915568,0.049999999999999996,1.0,0.0,0.16158392323697773,0.6799999999999999
100101101010100001011110010001000100010101111110000000000001,1210,0.49191181657848315,10981.068883683074,0.2166975909566881,0.02222222222222222,0.0,0.0,0.1451788452254856,0.6599999999999999
100101100111100000111010110001000000010101111110000000000001,1284,0.48564885361552024,10831.399341568103,0.2064340651669677,0.016666666666666666,0.0,0.0,0.13152110949797985,0.72
100101101010100000111101100101000000100110011000000000000110,1036,0.4341931905864197,10889.71905979716,0.20719145211757478,0.03333333333333334,0.33999999999999997,0.0,0.06478284230995898,0.44000000000000006
000101100100100000011110010001100110010110111110000000010001,2278,0.49199336419753087,10448.617133847196,0.18413642617289463,0.02777777777777778,0.42000000000000004,0.0,0.08186855530623652,0.4
000101100000100000011110010000000100010100101110000000000001,2248,0.4559715388007054,7405.109717842077,0.143170745781986,0.016666666666666666,0.0,0.0,0.007403199199401765,0.32
000101111111110011111110110101000100010110001101010000101100,562,0.48541144042107576,15548.23648364184,0.3512622509519059,0.05555555555555556,0.76,0.0,0.21715224294026605,0.74
100001000101110100110110001110010100000000001100011011011011,648,0.3884029541446207,12845.692772901299,0.15696108347920007,0.04444444444444444,1.2,0.0,0.16923055891272232,0.9
000111100110100000111101100000000011100110011000000001000001,882,0.4576634948192239,10693.76703792896,0.16065756460755526,0.016666666666666666,0.58,0.0,0.08167108253466718,0.4000000000000001
000100000101100000001110000000100000100100011110000000000001,4098,0.4252342372134038,5777.1309833702,0.15057945360465688,0.005555555555555555,0.0,0.0,0.0,0.18
