Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
000101101010101001010110111001010001000101010101010111000101,382,0.4154986448688271,14878.024430750304,0.2768880268524956,0.03888888888888888,0.5799999999999998,0.0,0.21610770357446296,0.82
000101100101000010001100000000000001110111011111000010010010,1538,0.4871730144951499,10066.794202861638,0.20901221673166376,0.016666666666666666,0.72,0.0,0.12915087542995246,0.28
000101000100000000001110000000000011100100011010000001000000,3526,0.4498745811287477,6262.483297620947,0.1425565766544908,0.01111111111111111,0.0,0.0,0.0,0.22000000000000003
000111010100010000100001100000000001110001111011000001101010,740,0.40169901895943555,9461.779902074974,0.09288481089263156,0.02222222222222222,0.27999999999999997,0.0,0.09638810305988746,0.5
000000010000000000001100000000100011110101011011000000000000,2312,0.3832765528549382,5156.770221852196,0.12166286539217575,0.013888888888888888,0.0,0.09575190666454689,0.07919401477089694,0.275
000101100101000010001110000000100011111101011010000001010000,1882,0.5001289131393298,10815.57981373679,0.18704760597371603,0.016666666666666666,0.54,0.0,0.12542182890653164,0.58
000111100101000000001110000000100011110111011110000001000000,2240,0.5130099647266314,10788.754259917745,0.21390556832449265,0.01111111111111111,0.96,0.0,0.160662550435604,0.32
000000010000000000001100000000000000110100011111000000000000,3106,0.34828685378086416,3772.220068110169,0.16497025388965292,0.009259259259259259,0.0,0.1276692088860625,0.06096737645993696,0.10000000000000002
000101100000101000001100000000000001110100011101000010010000,980,0.45074521604938267,8001.833920706825,0.14828207527470652,0.01111111111111111,0.13999999999999999,0.0,0.0,0.43999999999999995
000101110101000010001111001000110011110100011011000010010000,1828,0.4975162147266313,11592.376986048617,0.16190184605272254,0.02222222222222222,0.2,0.0,0.1614057674842569,0.6200000000000001
000101000101111010001111001000100010110110011010000001010110,1210,0.4916439925044091,12214.117826555439,0.18538004668155614,0.02777777777777778,1.2,0.0,0.15151708681826884,0.9199999999999999
000101100000000000001110000000000000110100011110000000000001,4608,0.4683162477954144,6101.046962789191,0.18427706229887056,0.006944444444444444,0.0,0.0,0.0,0.125
000111100101000000001110000000100001110111011010000010010000,2550,0.4980071869488536,10100.104477698342,0.1969341958812174,0.01111111111111111,0.8400000000000001,0.0,0.1553549010470734,0.34
000101100001000000001110000000000000110100011110000001010000,3292,0.48404680335096995,7264.961581487007,0.1922966435444289,0.013888888888888888,0.0,0.0,0.026723332759990635,0.15
000101000011110000101001100000100000110000011001010010000101,372,0.3448949763007054,9091.916816723913,0.062094267901641895,0.02222222222222222,0.22000000000000003,0.0,0.03140699906293258,0.5000000000000001
000000000010000000101100010000000001110100011101000010010000,1364,0.3727080880731922,5400.632684855938,0.09648393669262527,0.016666666666666666,0.0,0.0,0.0,0.26
000101000101011000001111000001000001100100011101000010010000,960,0.4615168264991181,9795.02545346104,0.17988250564882685,0.01111111111111111,0.13999999999999999,0.0,0.06296769577334208,0.31999999999999995
111101101100011001001011101001011110001101001100111111111011,0,0.4548784005731922,20411.613489527263,0.357058009730181,0.08333333333333333,0.86,0.0,0.4033964804555521,1.08
000101100100000000001110000000000001110100011010000010000000,3032,0.47237874779541444,6711.010347955995,0.1523280851227214,0.005555555555555555,0.0,0.0,0.0,0.24
000101000101101010001010010011010000110110011010000000101001,726,0.48456065917107577,12501.85489120037,0.16623378148751997,0.02777777777777778,1.0,0.0,0.12020661195775158,0.7
000101000101011010001110000000000001110100011101000010010000,986,0.44666146935626094,9423.697659265232,0.18545813542699802,0.01111111111111111,0.52,0.0,0.07917671422746533,0.36
000101100001000010001111000000111011110110011110001001000100,1624,0.5170634369488536,12749.464754611872,0.16034518581742954,0.03333333333333333,0.8400000000000001,0.0,0.1359140091270534,0.66
000101100110010000001100000000000001110100011111000000010000,2100,0.45729662147266303,7276.635353095771,0.187388927893042,0.01111111111111111,0.0,0.08438902461479594,0.07538143144555971,0.24000000000000005
000101101100001000001111000000000000100110011010010010000000,1150,0.47146667768959427,9752.8960780597,0.21109171532828558,0.020833333333333332,0.525,0.0,0.1391843886137114,0.5
010011101010100110011100010000101110100100111011101001000101,0,0.44827403549382705,14394.336329160342,0.1556976700373803,0.05,0.76,0.0,0.1772118375599517,1.1800000000000002
000101101000100000001100000000100011110101011011100111100001,602,0.4786899457120811,11512.834182763781,0.25247513734219107,0.02777777777777778,0.48,0.0,0.13859142434238145,0.5599999999999999
000101101000101001010110111100011101010101111111000111111000,330,0.49883951168430335,16669.74553849791,0.371652060022698,0.06666666666666667,0.5399999999999999,0.0,0.26632642843626014,1.02
000101000010000000001100000010000001110101011110000001000001,2206,0.4638889825837742,7998.15470217021,0.16901494132310568,0.005555555555555555,0.13999999999999999,0.0,0.047255199988630064,0.1
000101100100000000001110000000000001110110011011000000000000,2904,0.4798871472663139,7420.531463313679,0.20919782153641686,0.006944444444444444,0.675,0.0,0.08723910768583806,0.3
000101000111111010111010010111010000111011100111000100000100,356,0.39158496472663135,15729.217722161364,0.26906040038764506,0.03333333333333333,1.34,0.0,0.2805040971028275,0.58
000101000101111010111010010011010001011101111111010001110010,942,0.49590768298059956,16203.482893048691,0.20432643396712943,0.03333333333333333,1.1600000000000001,0.0,0.2382240963741073,0.72
000101100100010010001101000000110011110101011011000010000011,1180,0.4772068107914461,10818.081761384936,0.182810672127167,0.02222222222222222,0.4,0.0,0.08944527464786212,0.6
000101100101000000101110001000000001110110011110000001000000,2550,0.49824617504409163,9795.701569261451,0.19148066813971226,0.005555555555555555,0.6,0.0,0.08848122541203428,0.42000000000000004
000111000111011100001111000001100010110100011101001010010000,1024,0.47550657930996465,13942.319433518214,0.2889642374064837,0.016666666666666666,0.66,0.0,0.16508237058366199,0.7
000101100100000000001110000010100011110110011110000001100001,1452,0.49999283509700176,11112.49891838418,0.18761176205232805,0.01111111111111111,0.64,0.0,0.0953900849121716,0.4
000101100110000000001110000000100011110101011010000001000000,1682,0.491433840388007,8536.561502109798,0.1822657993979508,0.01111111111111111,0.0,0.0,0.07704884969137289,0.32000000000000006
000101100010000000011100000000100001110100011101000010010000,1856,0.45276488370811285,7487.839181394588,0.15314646897551348,0.01111111111111111,0.0,0.0,0.02775582150178097,0.30000000000000004
000001000000000000001100000000000001110100011111000000000000,3642,0.4026159377755731,4902.152480613154,0.12372769041723969,0.006944444444444444,0.0,0.0,0.04572553234495272,0.05
010001010110000000001111000000100011110101011011100111010110,454,0.4623808311287477,10764.819412005458,0.20081565364670234,0.038888888888888896,0.4,0.0,0.12115201171038761,0.54
000101100101000010001111000000001001110110011110001001000100,1962,0.5170634369488536,11968.41511204046,0.19148066813971226,0.02222222222222222,0.8400000000000001,0.0,0.13805784693352013,0.4600000000000001
000101000101111010111010010000000001110100011101000010010001,946,0.4562836915784832,11385.853001317098,0.18545813542699802,0.016666666666666666,0.7,0.0,0.09796286023099966,0.52
