Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
000101100101100010011110010001000100010111111011110001000001,0.5274905202821869,13199.586265661543,0.1896151418615835,0.02777777777777778,0.76,0.0,0.16701840495437328,0.8
000101100101100010011110010001000100010111111011110001000001,0.5274905202821869,13199.586265661543,0.1896151418615835,0.02777777777777778,0.76,0.0,0.16701840495437328,0.8
000101100101100010011110010001000100010110111011100000000001,0.5145044091710758,11143.354531134566,0.1661270991471602,0.02222222222222222,0.7,0.0,0.14689605246480267,0.76
000101100101110010011110010001000100011111111011110001000001,0.5280023258377424,14521.401578297742,0.19301235240209175,0.02777777777777778,1.3399999999999999,0.0,0.1989517426571395,0.96
000101100101100010011110010001000100010111111110100000000001,0.5165516313932981,11657.486178287818,0.20444970908487767,0.02222222222222222,0.7,0.0,0.15797899355071293,0.76
000101100101100010011110010001000100010110111111100000000001,0.5206155202821869,11364.953099945775,0.19117460872900738,0.02222222222222222,0.7,0.0,0.1522549189932763,0.76
100101100001010010011110000000000000010110111111100000000001,0.5074210758377424,9889.568995586678,0.20880114235541025,0.013888888888888888,0.575,0.0,0.1963991185296402,0.8
000101100001110000011110000001010000010100111111000000100001,0.4973178020282186,9325.712154252042,0.15348912626182667,0.01111111111111111,0.0,0.0,0.0677032324868243,0.34
000101100101100010011110010001000100010110111011100000000001,0.5145044091710758,11143.354531134566,0.1661270991471602,0.02222222222222222,0.7,0.0,0.14689605246480267,0.76
000101100101110010011110010001000100010111111011110001000001,0.5274905202821869,13523.306645740415,0.1896151418615835,0.02777777777777778,0.82,0.0,0.1809502923399454,0.7999999999999999
000101100101100010011110000000010000010110111111100000000001,0.5074210758377424,9980.525009863128,0.19117460872900738,0.016666666666666666,0.72,0.07755305654226509,0.1522549189932763,0.58
000000000000100000010101100001000000000000010010000000010000,0.2720739541032848,3031.3988263024116,0.0,0.013888888888888888,0.0,0.10548628076849492,0.0,0.25
100101100101100010011110010001000100010111111011111001000001,0.5287662147266313,14476.854132305834,0.19392620864466878,0.02777777777777778,0.8400000000000001,0.0,0.2146545419879991,1.16
100101100001010010001110000000000000010110111110000000000001,0.501340520282187,9196.80143775807,0.20483954676949961,0.006944444444444444,0.5,0.0,0.16636074352512112,0.375
010101100101100010011110010001000100010110111111100000000001,0.5206155202821869,11688.833223174322,0.19668050301002643,0.02222222222222222,0.68,0.0,0.16691569581120727,0.8
000101100100100010011110000000000000010110111111100000000001,0.4992317239858906,9403.653832457414,0.23413212830202892,0.013888888888888888,0.625,0.0,0.1487830096446756,0.6499999999999999
000000000001100000011110010000100000000100011110000000000000,0.3826458939594356,4278.812934025943,0.10639973048986562,0.013888888888888888,0.0,0.0,0.0,0.15000000000000002
000000000001100000010101000001000000100000010010000000010000,0.27829293558476625,3251.3532564649613,0.0,0.005555555555555555,0.0,0.08438902461479594,0.0,0.1
000101100101100011011110010001000100010111111011101000000001,0.5287662147266313,14127.258273051688,0.23005645635780772,0.02222222222222222,0.8600000000000001,0.0,0.20359436346239618,0.9799999999999999
000101100000100000011110010001000010010100011110000000000001,0.48249283509700175,7859.843715954248,0.14308422605921692,0.016666666666666666,0.0,0.0,0.0,0.28
000101100001110000011110000001010000010100111111000000010001,0.49680599647266305,9103.911110929632,0.15348912626182667,0.016666666666666666,0.0,0.0,0.0677032324868243,0.26
100101100001010010011110000000000000010111111110100000000001,0.5104405202821869,10182.102073928721,0.22539501780024812,0.013888888888888888,0.6000000000000001,0.0,0.20355421172643595,0.8
000101100001110000011110010001000000010100011110000000000001,0.49019812610229274,8348.938764590552,0.14949989105566358,0.01111111111111111,0.0,0.0,0.02137866620799251,0.24
100101100001010010011110000000000000010110111110100000000001,0.501340520282187,9483.081010426755,0.20483954676949961,0.013888888888888888,0.5,0.0,0.173320928304991,0.8
100101100001010010011110000000000000010111111110100000000001,0.5104405202821869,10182.102073928721,0.22539501780024812,0.013888888888888888,0.6000000000000001,0.0,0.20355421172643595,0.8
010101100101100010011110010001000100010110111110100000000001,0.5145349647266313,11282.345238014397,0.1935112265412979,0.02222222222222222,0.58,0.0,0.1484531436314879,0.8
000101100101100010011110110001000100010110111111100000000001,0.5206155202821869,11653.088407894295,0.19117460872900738,0.02777777777777778,0.6799999999999999,0.0,0.1522549189932763,0.8800000000000001
000100100101100000011110010000000000000100011010000000000001,0.43407401895943565,5896.6798437072575,0.11048400606799938,0.01111111111111111,0.0,0.0,0.0,0.24
000101100101100011011110010001000100010111111011100000000001,0.5274905202821869,12731.93240208281,0.23005645635780772,0.02222222222222222,0.8600000000000001,0.0,0.20359436346239618,0.76
000101100101100010011110010001000100010110011010000000000001,0.5078965388007055,10037.871336301367,0.16056675926001182,0.016666666666666666,0.62,0.0,0.10494218928284889,0.4
100101100011010010011110000000000000010111111110100000000001,0.5104405202821869,10578.391453571836,0.23043934448227915,0.013888888888888888,0.6000000000000001,0.0,0.24262714610199793,0.8500000000000001
100101100001010010011110000000000000010110111110100000000001,0.501340520282187,9483.081010426755,0.20483954676949961,0.013888888888888888,0.5,0.0,0.173320928304991,0.8
000101100101100011011110010001000100010111011011100000100001,0.5274905202821869,12484.43930794752,0.22973859886971382,0.02222222222222222,0.8600000000000001,0.0,0.19283558782027488,0.76
000101100101100011011110010001000100010111011011100000100001,0.5274905202821869,12484.43930794752,0.22973859886971382,0.02222222222222222,0.8600000000000001,0.0,0.19283558782027488,0.76
100101101101110011011110010001000100010111111011101000000001,0.5287662147266313,15274.709221779452,0.2577928972771634,0.02777777777777778,0.8800000000000001,0.0,0.24707196347770854,1.16
