Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
111010000101101101110101100110000100011100000011101011010100,0.3466158191826499,16190.362796275098,0.23044874566598733,0.03333333333333333,0.9400000000000001,0.0,0.24964992212761522,0.9400000000000001
101111011010111011010101111100111111100001101111100101110100,0.4272021935626102,19952.26335822449,0.35920784339098083,0.07222222222222222,1.34,0.0,0.36281851057299763,1.2799999999999998
100011100101100000111111111010110100111110101111001001011111,0.4664803350970017,18148.359772366315,0.15176431049913877,0.05555555555555556,1.34,0.0,0.3565809078652914,1.2799999999999998
111111111011011100100110000110100001011110110010110001011011,0.4367990272266314,19168.368268676433,0.26023175414634775,0.04444444444444444,1.3,0.0,0.34113027989839184,1.1800000000000002
001111100000110100100011101101001110000101111011101001000101,0.40099268628747786,17237.737389736107,0.3080041459590063,0.04444444444444444,0.7200000000000001,0.0,0.30879798938151237,1.3399999999999999
111010111110100101000001110010010101101001000001011111000011,0.32838482418430337,16424.760715696037,0.16469386788556295,0.04444444444444444,1.3199999999999998,0.0,0.23268545621195705,1.1199999999999999
010101110100010100100111000010010111010000010010000011101011,0.3992876074735449,11759.915010744524,0.1651865595944893,0.03333333333333333,0.45999999999999996,0.0,0.15890326938848368,0.32
011000110110010101110100110110100000001010010011100011101111,0.3403521040013227,15266.599764248092,0.18888101068430502,0.04444444444444444,0.9,0.0,0.2288651460350386,1.26
101001100001000111001000000110101000000111101111101001101100,0.4460389867173721,16715.267513849296,0.28244615408708873,0.04444444444444444,0.8800000000000001,0.0,0.2725868352505319,0.34
101101100000110101111101010100011111010011111011111011101111,0.4700681533840388,19445.564618395532,0.3366142704131082,0.07777777777777777,1.2,0.0,0.3782292552474127,1.46
100100111111110010001101001000111100000001101110010011100000,0.43351887676366835,13945.993324385914,0.10850881972720558,0.03888888888888888,0.78,0.0,0.13291608031821653,0.96
000110111100001111000010011100001110010100011100011100001101,0.40364120370370365,15547.689627694692,0.4339284383724912,0.06666666666666668,0.8,0.0,0.23197222808934378,0.72
111001000101010000001111101010100110000110010110000100011111,0.4019726962081128,13352.120896229773,0.17655619630128033,0.055555555555555546,0.5,0.0,0.1427879959194867,0.8600000000000001
100000010101101000000100011110110110011001011101110001110010,0.35307826416446203,13303.209639300658,0.12826040377305076,0.05,0.74,0.0,0.15868134414398588,1.7399999999999998
011111111011000010000000001100110101010011001100000110010110,0.3846757688492063,14988.164689177363,0.2868284216906477,0.04444444444444444,1.2,0.0,0.1936109933570122,0.25999999999999995
010010001011011111011111011010101011100100001010010110101011,0.4068410604056437,18125.111820805883,0.24937326470958224,0.061111111111111116,1.1400000000000001,0.0,0.34896112526122025,0.74
100111100111001100010101011000110100100100000011010101000101,0.3778530740189594,14069.069749059203,0.30293559594913094,0.03333333333333333,0.5599999999999999,0.0,0.12385968224765617,1.3199999999999998
111111001011100000001110100110110111101100011111100110100011,0.4878634369488536,17452.473182803024,0.3323925532863901,0.05555555555555556,1.4,0.0,0.32937924506057004,1.08
000001111011011111011001001011011101011111000110010111111011,0.41152180886243384,20698.672162645194,0.34616281887808825,0.06666666666666667,1.26,0.0,0.44373121041468194,0.9199999999999999
011101111010000101011011011010101110110000011000101001101001,0.37228224068562604,16758.608718068575,0.1715998328865621,0.05555555555555556,0.7000000000000001,0.0,0.31445074789204847,1.18
011011001111011010011110001100111001101001010111011010110000,0.4018754739858906,18099.08278868982,0.12138377990165798,0.04444444444444444,1.02,0.0,0.3452265551446142,0.8399999999999999
110010001010110010000001100101100011001100111110101000100010,0.39160169753086416,13555.53634720416,0.15924188353597668,0.03333333333333333,0.8800000000000001,0.0,0.15844413597267054,1.3199999999999998
010000011110010011011010000111001111000111110111111010000101,0.4039263227513227,16152.336486427414,0.21283569330147872,0.05555555555555556,0.9600000000000002,0.0,0.29584532064200775,0.74
110111111001000010111000011111010110100001010101110001100101,0.40089711337081124,16712.73908123516,0.20903795665783872,0.05555555555555556,1.2,0.0,0.21344756219221325,1.1400000000000001
000010010110011001101000100100011100110011111000101100011110,0.32575860063932977,13366.286510178084,0.17616120336375735,0.07777777777777777,0.82,0.0,0.15718245112998858,0.9200000000000002
010110101110001111111100001111100100001110101111110000011000,0.44004403108465606,19443.438195361003,0.3994075238880971,0.05,1.3,0.0,0.3716559296766594,1.0
100100111010000110001000011001000001010110100111100011110010,0.419173506393298,13697.779265499685,0.19058262476208454,0.03333333333333334,0.8,0.0,0.17585273031588464,0.76
