Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
001234566677|31300031-1-1-1-1,0.36842501102292763,5250.812500968377,0.002369857346767465,0.0,0.0,0.0,0.0,0.225
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234566667|34340230-1-1-1-1,0.3720044753086419,5260.009403860279,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234566667|34342034-1-1-1-1,0.37391419753086413,5262.129193993538,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|343434-1-1-1-1-1-1,0.34234192157186943,5132.645000517839,0.012957152846860573,0.004629629629629629,0.0,0.0,0.0,0.3
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234566677|30340234-1-1-1-1,0.3659298845348324,5197.706986285564,0.002369857346767465,0.003472222222222222,0.0,0.0,0.0,0.225
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234566677|30340234-1-1-1-1,0.3659298845348324,5197.706986285564,0.002369857346767465,0.003472222222222222,0.0,0.0,0.0,0.225
001234566677|30340234-1-1-1-1,0.3659298845348324,5197.706986285564,0.002369857346767465,0.003472222222222222,0.0,0.0,0.0,0.225
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234566667|30340234-1-1-1-1,0.3773516975308641,5264.671687473518,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
001234444455|313431-1-1-1-1-1-1,0.3512507385361552,5189.376820908934,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3034034-1-1-1-1-1,0.38698132716049377,5467.849568443964,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234566677|30340234-1-1-1-1,0.3659298845348324,5197.706986285564,0.002369857346767465,0.003472222222222222,0.0,0.0,0.0,0.225
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234444455|343434-1-1-1-1-1-1,0.34234192157186943,5132.645000517839,0.012957152846860573,0.004629629629629629,0.0,0.0,0.0,0.3
001234444455|343434-1-1-1-1-1-1,0.34234192157186943,5132.645000517839,0.012957152846860573,0.004629629629629629,0.0,0.0,0.0,0.3
001234566667|30340234-1-1-1-1,0.3773516975308641,5264.671687473518,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
001234566677|30340234-1-1-1-1,0.3659298845348324,5197.706986285564,0.002369857346767465,0.003472222222222222,0.0,0.0,0.0,0.225
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234566667|30340334-1-1-1-1,0.3773516975308641,5239.65064183541,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
001234455556|3434034-1-1-1-1-1,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
