Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
011233455678|443203023-1-1-1,0,0.31634237351190475,5906.595957144806,0.0021065398637933022,0.009259259259259259,0.17777777777777778,0.0,0.0,0.2222222222222222
001234445566|3431031-1-1-1-1-1,740,0.3573783840388006,5521.509244253375,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2571428571428572
001222344456|4333222-1-1-1-1-1,0,0.1598952380952381,5480.806023654259,0.04942465321658472,0.02777777777777778,0.34285714285714286,0.0,0.0,0.2571428571428572
000111223334|01434-1-1-1-1-1-1-1,310,0.3185694554673721,6332.197370163835,0.06353078594433312,0.005555555555555555,0.32,0.0,0.015995615464377964,0.27999999999999997
001233334445|323034-1-1-1-1-1-1,498,0.3687604276895943,5928.138577524985,0.003159809795689953,0.0,0.16666666666666666,0.0,0.01859503395240671,0.26666666666666666
011234555556|3034131-1-1-1-1-1,534,0.34172283950617277,5464.356523225405,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2571428571428572
001234556677|32030134-1-1-1-1,1230,0.35345716628086415,5246.960552250299,0.0,0.003472222222222222,0.0,0.0,0.0,0.22499999999999998
000000000000|3-1-1-1-1-1-1-1-1-1-1-1,0,0.35284925044091703,5950.469373404551,0.6103790736561728,0.0,0.0,0.0,0.6010492910256411,0.0
001234555556|3214134-1-1-1-1-1,522,0.3493581459435625,5505.38636213034,0.0,0.0,0.0,0.0,0.0,0.2285714285714286
000000111112|434-1-1-1-1-1-1-1-1-1,546,0.30500188492063485,6045.020171896642,0.14552933405582957,0.027777777777777776,0.9333333333333332,0.0,0.11834203961542011,0.4666666666666666
001222334445|001401-1-1-1-1-1-1,0,0.2612311535493827,5717.925129110569,0.0529423216202776,0.009259259259259259,0.3333333333333333,0.0,0.013329679553648305,0.26666666666666666
000000000011|31-1-1-1-1-1-1-1-1-1-1,350,0.3508142305996472,5806.892571904181,0.29634301762444193,0.0,0.9,0.0,0.25323560410492857,0.2
000012334445|343141-1-1-1-1-1-1,568,0.22015427689594352,5729.182619596517,0.034939088120059025,0.018518518518518517,0.16666666666666666,0.0,0.0,0.2333333333333333
000112234567|31212040-1-1-1-1,0,0.26896704144620803,6939.741174525576,0.011275654953610936,0.010416666666666666,0.175,0.0,0.0,0.2
001234455556|3434034-1-1-1-1-1,638,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001112344444|03032-1-1-1-1-1-1-1,384,0.21892742504409168,6217.346669262546,0.0357230951374802,0.02777777777777778,0.48,0.0,0.006481888412427875,0.32
011234567778|303213131-1-1-1,572,0.3217327601410934,5345.16954885162,0.0021065398637933022,0.0,0.0,0.0,0.0,0.20000000000000004
001234566777|32340432-1-1-1-1,706,0.2930391437940917,5692.349227884868,0.002369857346767465,0.006944444444444444,0.0,0.0,0.0,0.19999999999999998
000111122223|4411-1-1-1-1-1-1-1-1,0,0.23462438822751316,6410.756965485638,0.08717159481728456,0.027777777777777776,0.3,0.0,0.02723542322015813,0.35
001222234445|323033-1-1-1-1-1-1,0,0.34176472663139323,5592.675808475356,0.058114396544856374,0.0,0.3333333333333333,0.06383460444303125,0.018260731390416705,0.26666666666666666
001112223334|34120-1-1-1-1-1-1-1,0,0.1938692570546737,6317.263638876955,0.0357230951374802,0.02777777777777778,0.48,0.0,0.0063589424677088,0.32
001122234567|24113103-1-1-1-1,0,0.25805348048941795,6608.737866815623,0.010325407220822855,0.010416666666666666,0.35,0.0,0.009760922941363749,0.22500000000000003
000011222233|4233-1-1-1-1-1-1-1-1,0,0.2940346230158729,6215.803070443925,0.05240863218008854,0.020833333333333332,0.3,0.0,0.0,0.39999999999999997
001112334445|424100-1-1-1-1-1-1,0,0.22480147982804233,6238.2733987650845,0.023841743531484178,0.018518518518518517,0.5,0.0,0.024329877568043227,0.26666666666666666
000111112223|4431-1-1-1-1-1-1-1-1,0,0.2842859457671957,6264.075481160482,0.08769017806578808,0.027777777777777776,0.3,0.0,0.03412098334913679,0.35
001234455566|3034033-1-1-1-1-1,2846,0.38010632716049375,5396.053362239415,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2571428571428572
000123445556|3434034-1-1-1-1-1,948,0.3355436618165784,5959.463282370383,0.0027084083963056743,0.003968253968253968,0.0,0.0,0.0,0.19999999999999998
000011122333|1400-1-1-1-1-1-1-1-1,0,0.2876547646604938,6903.758278062767,0.04385315097331288,0.006944444444444444,0.3,0.0,0.0,0.35
001234455556|3234031-1-1-1-1-1,634,0.3808933641975308,5512.221998807239,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
000112334456|1341324-1-1-1-1-1,310,0.3378164586089065,6390.293176937559,0.01828049000306534,0.003968253968253968,0.17142857142857143,0.0,0.0,0.2285714285714286
000123456777|32341310-1-1-1-1,488,0.29685907600308636,6562.887298426701,0.0,0.006944444444444444,0.0,0.0,0.0,0.175
000112345567|03411324-1-1-1-1,0,0.33860349564594355,6506.278067755009,0.015995428752682173,0.003472222222222222,0.175,0.0,0.0,0.2
001222233334|30431-1-1-1-1-1-1-1,610,0.3405635030864197,5552.409475120515,0.06973727585382765,0.005555555555555555,0.32,0.0,0.021788338576126505,0.32
001234566667|34140434-1-1-1-1,1258,0.3694044422398588,5321.779372913267,0.0,0.0,0.0,0.0,0.0,0.2
001233334455|323414-1-1-1-1-1-1,456,0.28336793430335094,5744.719538567049,0.003159809795689953,0.013888888888888888,0.16666666666666666,0.0,0.0,0.3
001234566667|34342434-1-1-1-1,1088,0.3627104938271605,5233.189057594167,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
011234556667|30342134-1-1-1-1,644,0.3421047839506172,5275.210873209446,0.002369857346767465,0.0,0.0,0.0,0.0,0.22500000000000003
001112334556|4211031-1-1-1-1-1,518,0.23287706266534386,6316.912145779726,0.02043578016984358,0.015873015873015872,0.5142857142857143,0.0,0.02085418077260848,0.2285714285714286
001234555555|343404-1-1-1-1-1-1,612,0.21943159171075832,5568.968618391555,0.003159809795689953,0.02314814814814815,0.0,0.0,6.778447142485235E-4,0.26666666666666666
012345677778|310340434-1-1-1,984,0.3659936728395061,5362.536018719727,0.0021065398637933022,0.0,0.0,0.0,0.0,0.2
001223334445|301034-1-1-1-1-1-1,412,0.3617953152557319,5947.9897653984945,0.015034206604814582,0.0,0.16666666666666666,0.0,0.0,0.26666666666666666
001112234456|0024034-1-1-1-1-1,0,0.2898641768628747,6496.990087754101,0.02043578016984358,0.007936507936507936,0.5142857142857143,0.0,0.02308030761313983,0.2571428571428572
001234555556|3304131-1-1-1-1-1,632,0.3538141644620811,5521.2129141272535,0.0,0.0,0.0,0.0,0.0,0.2285714285714286
001234566667|32310431-1-1-1-1,756,0.36248562610229274,5305.861854139477,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
001234566677|30340404-1-1-1-1,1000,0.294467471340388,5220.062332003066,0.002369857346767465,0.006944444444444444,0.0,0.0,0.0,0.225
001122334567|10012032-1-1-1-1,0,0.2961878429921737,6374.491563752464,0.005360127946522325,0.006944444444444444,0.35,0.0,0.0,0.22500000000000003
000000000111|30-1-1-1-1-1-1-1-1-1-1,0,0.3577877838403879,6270.15704412286,0.25502296938518326,0.0,0.9,0.0,0.24402373163412108,0.2
001234566677|30340134-1-1-1-1,1442,0.3659298845348324,5201.525325540159,0.002369857346767465,0.003472222222222222,0.0,0.0,0.0,0.225
001234455566|3404033-1-1-1-1-1,3222,0.3824137014991181,5463.28284482394,0.0,0.0,0.0,0.0,0.0,0.2571428571428572
001234555566|4034131-1-1-1-1-1,362,0.3184437499999999,5420.7499397606025,0.0027084083963056743,0.007936507936507936,0.0,0.0,0.0,0.2571428571428572
000123344445|304034-1-1-1-1-1-1,660,0.3892887014991181,6243.507002387954,0.0,0.0,0.0,0.0,0.0,0.23333333333333336
000123455667|00442431-1-1-1-1,0,0.29558599114032186,6332.500245875959,0.0,0.010416666666666666,0.0,0.0,0.0,0.17500000000000002
001122234444|14303-1-1-1-1-1-1-1,346,0.3198128417107583,6314.643120366229,0.016520651553316567,0.005555555555555555,0.32,0.07660152533163751,0.0,0.31999999999999995
000000000000|0-1-1-1-1-1-1-1-1-1-1-1,0,0.2911397183641975,6921.168498131652,0.5935089312512716,0.027777777777777776,0.0,0.0,0.653051401358534,0.0
001234566667|34340134-1-1-1-1,942,0.3773516975308641,5269.105848317777,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
001234556667|32240134-1-1-1-1,814,0.3443829475308641,5317.855593043311,0.0,0.003472222222222222,0.0,0.0,0.0,0.2
001234556666|3434013-1-1-1-1-1,748,0.3604419753086419,5343.135721197836,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
000011122222|232-1-1-1-1-1-1-1-1-1,0,0.1406356812169312,6695.13780918909,0.058470867964417174,0.07407407407407407,0.26666666666666666,0.0,0.0,0.46666666666666673
001234556667|32340142-1-1-1-1,582,0.2305709435626102,5253.769409681397,0.002369857346767465,0.013888888888888888,0.0,0.0,0.0,0.2
000011112222|330-1-1-1-1-1-1-1-1-1,0,0.3155788718033509,6537.834296081415,0.06987817624011805,0.009259259259259259,0.26666666666666666,0.0,0.0,0.4666666666666666
001123345567|21402324-1-1-1-1,462,0.3115066592261904,6102.317512180852,0.005360127946522325,0.013888888888888888,0.175,0.0,0.0,0.225
001234555556|3434034-1-1-1-1-1,728,0.3773516975308641,5414.737987158963,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
012223344555|020214-1-1-1-1-1-1,0,0.17575855379188712,6820.703886659543,0.023841743531484178,0.018518518518518517,0.5,0.0,0.026927025548663133,0.3
001234456667|32340230-1-1-1-1,450,0.36158780864197526,5536.124348798234,0.002369857346767465,0.003472222222222222,0.0,0.0,0.0,0.2
001234455555|323403-1-1-1-1-1-1,600,0.3813975308641975,5612.276504823772,0.003159809795689953,0.0,0.0,0.0,0.0,0.26666666666666666
001234555555|323434-1-1-1-1-1-1,530,0.20980196208112875,5571.914095187923,0.003159809795689953,0.02314814814814815,0.0,0.0,6.778447142485235E-4,0.26666666666666666
001234445566|3034034-1-1-1-1-1,1190,0.36552479194223986,5416.606247235494,0.0027084083963056743,0.003968253968253968,0.0,0.0,0.0,0.2571428571428572
011122333345|340002-1-1-1-1-1-1,0,0.24537058256172836,6472.583900026798,0.02646786120387847,0.013888888888888888,0.3333333333333333,0.0,0.0,0.3333333333333333
011222345567|30440401-1-1-1-1,0,0.18951195160934745,5506.831904110799,0.04324657156451163,0.013888888888888888,0.35,0.0,0.0,0.25
001234455566|3232034-1-1-1-1-1,864,0.36636143215388,5441.650023418282,0.0027084083963056743,0.003968253968253968,0.0,0.0,0.0,0.2571428571428572
001234566678|303404342-1-1-1,1156,0.3590548845348324,5270.423554846526,0.0021065398637933022,0.0030864197530864196,0.0,0.0,0.0,0.20000000000000004
001234445556|3434042-1-1-1-1-1,752,0.24098761022927684,5525.796425551654,0.0027084083963056743,0.015873015873015872,0.0,0.0,0.0,0.2285714285714286
001234566677|34030434-1-1-1-1,1416,0.3617227086089065,5229.966510025849,0.0,0.003472222222222222,0.0,0.0,0.0,0.225
000011222234|01131-1-1-1-1-1-1-1,0,0.2947533716380071,6622.218407230294,0.0350825207786503,0.005555555555555555,0.32,0.0,0.0,0.31999999999999995
011122333456|4204102-1-1-1-1-1,0,0.21450809358465606,6672.208733152768,0.017483496503751157,0.02380952380952381,0.34285714285714286,0.017112080464379804,0.0,0.2857142857142857
000000112344|34031-1-1-1-1-1-1-1,414,0.282297549465388,6054.760456694577,0.08731760043349775,0.01111111111111111,1.1199999999999999,0.0,0.07108429566759775,0.31999999999999995
001234566678|320404314-1-1-1,1078,0.3743947530864197,5406.284647214568,0.0,0.0,0.0,0.0,0.0,0.20000000000000004
001234566667|32340431-1-1-1-1,572,0.3704766975308641,5283.922320692018,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
001234556667|34342131-1-1-1-1,628,0.35002530864197523,5235.036126737195,0.002369857346767465,0.0,0.0,0.0,0.0,0.2
001112223334|31220-1-1-1-1-1-1-1,0,0.18972190255731922,6485.358628254755,0.028610092237781014,0.02777777777777778,0.48,0.0,0.03231243065839576,0.32
000123444455|323431-1-1-1-1-1-1,416,0.33232299382716046,6205.252405031708,0.0,0.004629629629629629,0.0,0.0,0.0,0.26666666666666666
000111111112|034-1-1-1-1-1-1-1-1-1,388,0.3527815917107583,6167.902180533965,0.18564316990229898,0.0,0.39999999999999997,0.0,0.1337474000225962,0.4666666666666666
001234556677|34330134-1-1-1-1,874,0.3549130194554673,5156.312177278921,0.002369857346767465,0.003472222222222222,0.0,0.0,0.0,0.225
001222233456|1130040-1-1-1-1-1,0,0.294247795414462,5824.3779028580875,0.04981233989559118,0.007936507936507936,0.34285714285714286,0.0,0.01565205547750003,0.2571428571428572
001233333444|10122-1-1-1-1-1-1-1,0,0.18279233906525572,6280.192213734077,0.0,0.02777777777777778,0.32,0.0,0.04664698211420325,0.32
