Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
000122333456|3431304-1-1-1-1-1,0,0.2660933021935626,6821.849790781264,0.0027084083963056743,0.007936507936507936,0.17142857142857143,0.0,0.0,0.2285714285714286
011223445678|421400103-1-1-1,0,0.25255257109788354,6019.490603107853,0.01002280440320972,0.009259259259259259,0.17777777777777778,0.0,0.0,0.2222222222222222
011223344455|322034-1-1-1-1-1-1,0,0.32022414158950613,5870.948296768254,0.015034206604814582,0.013888888888888888,0.16666666666666666,0.0,0.0,0.3333333333333333
001223444455|313431-1-1-1-1-1-1,586,0.35902024911816577,5684.638415819475,0.021327238336909565,0.0,0.16666666666666666,0.0,0.0,0.3
001111122223|3442-1-1-1-1-1-1-1-1,0,0.18767712742504405,5893.606768805008,0.09434095339534146,0.04166666666666667,0.75,0.0,0.08617791561785787,0.35000000000000003
000000000000|3-1-1-1-1-1-1-1-1-1-1-1,0,0.35284925044091703,5950.469373404551,0.6103790736561728,0.0,0.0,0.0,0.6010492910256411,0.0
011223455567|21340310-1-1-1-1,568,0.35021292989417985,5690.72050190851,0.015995428752682173,0.003472222222222222,0.175,0.0,0.0,0.25
001112233334|03031-1-1-1-1-1-1-1,962,0.3799112213403879,6181.266275439101,0.0357230951374802,0.0,0.48,0.0,0.006481888412427875,0.32
001234444455|313231-1-1-1-1-1-1,1708,0.34028347663139324,5200.491441505027,0.012957152846860573,0.0,0.0,0.0,0.0,0.3
000111111233|2142-1-1-1-1-1-1-1-1,0,0.14519583333333333,6682.347247396296,0.10470147916137251,0.034722222222222224,0.45,0.04348846800669794,0.08968775206291851,0.39999999999999997
000000001222|323-1-1-1-1-1-1-1-1-1,0,0.3115011697117504,6367.490874872066,0.14671495690678074,0.018518518518518517,0.9333333333333332,0.0,0.14480579141359598,0.13333333333333333
000111223344|11314-1-1-1-1-1-1-1,0,0.2745427028218695,6283.023598535695,0.06353078594433312,0.01111111111111111,0.32,0.0,0.015995615464377964,0.31999999999999995
001112334567|40320044-1-1-1-1,0,0.24006574074074075,6390.896041644052,0.017881307648613134,0.017361111111111112,0.525,0.0,0.02019526916149735,0.22500000000000003
001222222223|4131-1-1-1-1-1-1-1-1,616,0.3196753306878306,5375.664220455132,0.13923237742672423,0.013888888888888888,0.45,0.0,0.10031055001694715,0.4
001234455556|3434034-1-1-1-1-1,2876,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3134034-1-1-1-1-1,2220,0.3877683641975308,5502.849568443964,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
011122334456|1443412-1-1-1-1-1,0,0.18599514440035272,6094.109254722263,0.022686738174752974,0.019841269841269844,0.34285714285714286,0.0,0.0,0.2857142857142857
001112222344|44124-1-1-1-1-1-1-1,0,0.1504361111111111,6160.506968457812,0.0357230951374802,0.03333333333333334,0.48,0.025282259693505782,0.0063589424677088,0.36
001234444455|043434-1-1-1-1-1-1,2580,0.34234192157186943,5174.831458260585,0.012957152846860573,0.004629629629629629,0.0,0.0,0.0,0.3
001234566678|343402314-1-1-1,2764,0.37483870149911813,5340.758069387967,0.0021065398637933022,0.0,0.0,0.0,0.0,0.20000000000000004
000111122222|310-1-1-1-1-1-1-1-1-1,0,0.2717285741843033,6853.817014961834,0.1068284137388655,0.009259259259259259,0.26666666666666666,0.0,0.07993975267772004,0.46666666666666673
011112333333|4041-1-1-1-1-1-1-1-1,404,0.25687624007936505,6883.066475202987,0.051835603984994844,0.013888888888888888,0.6,0.0,0.09142941474124541,0.44999999999999996
000011111222|422-1-1-1-1-1-1-1-1-1,0,0.12224282407407407,6674.950828426787,0.06987817624011805,0.07407407407407407,0.4000000000000001,0.0,0.07774497019033874,0.4666666666666666
000000111122|303-1-1-1-1-1-1-1-1-1,0,0.31870098241843026,6056.764920111631,0.14552933405582957,0.009259259259259259,0.9333333333333332,0.0,0.1184738261126629,0.5333333333333333
000111234445|011003-1-1-1-1-1-1,0,0.26722817735890647,6549.961239231559,0.0529423216202776,0.004629629629629629,0.3333333333333333,0.0,0.013329679553648305,0.2333333333333333
001223455567|31340313-1-1-1-1,700,0.3659994157848324,5672.852570341648,0.015995428752682173,0.0,0.175,0.0,0.0,0.225
001112344445|414014-1-1-1-1-1-1,0,0.2437001157407407,6338.662492467985,0.023841743531484178,0.013888888888888888,0.5,0.0,0.026927025548663133,0.2666666666666667
000122234455|313031-1-1-1-1-1-1,846,0.32832828483245147,6552.966938643581,0.0,0.0,0.16666666666666666,0.06383460444303125,0.0,0.26666666666666666
000001111222|040-1-1-1-1-1-1-1-1-1,0,0.26140592206790114,6788.568480438716,0.08361839453064919,0.027777777777777776,0.6666666666666666,0.0,0.09911006411299866,0.4666666666666666
000000000000|0-1-1-1-1-1-1-1-1-1-1-1,0,0.2911397183641975,6921.168498131652,0.5935089312512716,0.027777777777777776,0.0,0.0,0.653051401358534,0.0
001223455567|01320310-1-1-1-1,1224,0.36949147927689585,5669.003900108391,0.015995428752682173,0.0,0.175,0.0,0.0,0.225
001234455556|0134034-1-1-1-1-1,2240,0.3877683641975308,5530.03602618671,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
000011112222|330-1-1-1-1-1-1-1-1-1,0,0.3155788718033509,6537.834296081415,0.06987817624011805,0.009259259259259259,0.26666666666666666,0.0,0.0,0.4666666666666666
001223344445|013030-1-1-1-1-1-1,1068,0.3814389991181657,5794.8695358236955,0.021327238336909565,0.0,0.16666666666666666,0.0,0.0,0.2666666666666667
011112234566|2234113-1-1-1-1-1,0,0.2441388434193121,6700.285687179311,0.029620345134282768,0.019841269841269844,0.6857142857142857,0.06027787472485424,0.03165155528293989,0.2857142857142857
001111111123|0310-1-1-1-1-1-1-1-1,572,0.3543062940917107,5772.947646793968,0.14034664641061162,0.0,1.05,0.0,0.1127150398146604,0.35
001223444456|0134310-1-1-1-1-1,812,0.3625123126102292,5816.6343878912985,0.01828049000306534,0.0,0.17142857142857143,0.0,0.0,0.2571428571428572
000011111111|30-1-1-1-1-1-1-1-1-1-1,0,0.29800231757054674,6696.749477209811,0.20396775912984405,0.013888888888888888,0.4,0.0,0.24452048469814858,0.7
011222234455|013234-1-1-1-1-1-1,410,0.31015056354717807,5605.491837735086,0.058114396544856374,0.009259259259259259,0.3333333333333333,0.06462754711855424,0.018260731390416705,0.3333333333333333
001223344455|113031-1-1-1-1-1-1,986,0.3783803681657848,5815.530581819403,0.021327238336909565,0.0,0.16666666666666666,0.0,0.0,0.3
