Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
012334556777|43244212-1-1-1-1,0,0.1730154761904762,6098.584012073011,0.015995428752682173,0.020833333333333332,0.175,0.0,0.0,0.22499999999999998
001111123445|033104-1-1-1-1-1-1,748,0.3270250151565255,6315.9016002793105,0.06289396893022764,0.004629629629629629,0.8333333333333334,0.0,0.05752576856752053,0.2333333333333333
001223445677|04303130-1-1-1-1,862,0.33277732997134035,5740.475399083244,0.015995428752682173,0.003472222222222222,0.175,0.0,0.0,0.22499999999999998
000122233344|24201-1-1-1-1-1-1-1,370,0.22714538897156084,6727.28264952421,0.003791771754827944,0.02222222222222222,0.16,0.0,0.011941623897047931,0.32
001111233334|13030-1-1-1-1-1-1-1,444,0.3647260361552027,5766.878249620925,0.07497683584537022,0.0,0.8,0.0,0.05143522010087594,0.32
000000000000|3-1-1-1-1-1-1-1-1-1-1-1,0,0.35284925044091703,5950.469373404551,0.6103790736561728,0.0,0.0,0.0,0.6010492910256411,0.0
001112233333|3012-1-1-1-1-1-1-1-1,0,0.18989551366843033,6663.641434697293,0.03576261529722627,0.034722222222222224,0.45,0.0,0.0403905383229947,0.4
001122234556|0313420-1-1-1-1-1,0,0.22048496472663137,6649.3579377746455,0.01180046539522612,0.015873015873015872,0.34285714285714286,0.0,0.011155340504415714,0.2285714285714286
001234566677|04343030-1-1-1-1,930,0.35997174548059957,5270.5860096731785,0.002369857346767465,0.0,0.0,0.0,0.0,0.225
000001111122|442-1-1-1-1-1-1-1-1-1,0,0.13906160714285715,5999.747385315228,0.11357671935007274,0.07407407407407407,0.6666666666666666,0.0,0.064063235533228,0.5333333333333333
000111222344|24130-1-1-1-1-1-1-1,662,0.24621290095899465,6602.774637119501,0.0691945145032186,0.02222222222222222,0.32,0.034751522612698704,0.0,0.31999999999999995
000000001111|23-1-1-1-1-1-1-1-1-1-1,0,0.26788713624338617,6658.509463246107,0.2079518905967111,0.05555555555555555,0.7,0.0,0.2515165066178062,0.2
001222233344|00334-1-1-1-1-1-1-1,0,0.34234192157186943,5524.024611357404,0.06973727585382765,0.005555555555555555,0.32,0.0,0.021912877668500044,0.36
001123455556|1313030-1-1-1-1-1,654,0.3547409171075837,5707.226344850306,0.01180046539522612,0.0,0.17142857142857143,0.0,0.0,0.2285714285714286
001234455556|3434034-1-1-1-1-1,1402,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001122333444|13323-1-1-1-1-1-1-1,0,0.28334971468529535,6514.346265318749,0.016520651553316567,0.016666666666666666,0.32,0.0,0.0,0.32
000123444445|143134-1-1-1-1-1-1,852,0.33260219356261017,6201.049603972826,0.003159809795689953,0.004629629629629629,0.0,0.0,0.0,0.2333333333333333
001111222333|1323-1-1-1-1-1-1-1-1,440,0.28334971468529535,6311.610058336985,0.09372104480671278,0.020833333333333332,0.75,0.0,0.06429402512609493,0.4
001122334456|2143242-1-1-1-1-1,0,0.18166689814814813,6066.31814571506,0.0061258605103112285,0.023809523809523808,0.34285714285714286,0.0,0.0,0.2571428571428572
001111233344|13134-1-1-1-1-1-1-1,504,0.34234192157186943,5720.191653635875,0.07497683584537022,0.005555555555555555,0.8,0.0,0.05143522010087594,0.36
001233333344|04334-1-1-1-1-1-1-1,822,0.34234192157186943,5480.183245195208,0.03570633769567746,0.005555555555555555,0.32,0.0,0.03635396722138122,0.36
001234444455|043434-1-1-1-1-1-1,1150,0.34234192157186943,5174.831458260585,0.012957152846860573,0.004629629629629629,0.0,0.0,0.0,0.3
000112222333|3431-1-1-1-1-1-1-1-1,0,0.3308497795414461,6701.948603560308,0.031990857505364345,0.006944444444444444,0.15,0.0,0.0,0.35
000011233344|24230-1-1-1-1-1-1-1,0,0.30046750165343905,6231.959463936131,0.0350825207786503,0.016666666666666666,0.32,0.0,0.0,0.32
