Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
001234555556|3103030-1-1-1-1-1,550,0.3705783840388006,5505.609559661792,0.0,0.0,0.0,0.0,0.0,0.2285714285714286
000111222234|04210-1-1-1-1-1-1-1,312,0.19210846009700175,6466.605127998726,0.0691945145032186,0.02777777777777778,0.32,0.0,0.0,0.31999999999999995
000000000000|3-1-1-1-1-1-1-1-1-1-1-1,0,0.35284925044091703,5950.469373404551,0.6103790736561728,0.0,0.0,0.0,0.6010492910256411,0.0
000012233334|32034-1-1-1-1-1-1-1,492,0.3797772927689594,6043.141013206842,0.04192690574407083,0.0,0.16,0.0,0.0,0.28
000111223455|302340-1-1-1-1-1-1,0,0.26503156690917107,6444.660521325957,0.0529423216202776,0.009259259259259259,0.3333333333333333,0.028992312004465295,0.013329679553648305,0.26666666666666666
000000012345|024310-1-1-1-1-1-1,330,0.28363458443562606,6906.981082067541,0.06904920310753443,0.013888888888888888,1.1666666666666667,0.09358714929580315,0.08373954121579945,0.16666666666666666
000001111123|4231-1-1-1-1-1-1-1-1,344,0.15794434651951056,6156.783112436733,0.07499414491121353,0.048611111111111105,0.75,0.0,0.048047426649920996,0.4
001234455556|3431034-1-1-1-1-1,1428,0.3797772927689594,5520.404923481087,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
000011223445|144040-1-1-1-1-1-1,0,0.20874356261022925,6419.153462325311,0.029235433982208587,0.018518518518518517,0.3333333333333333,0.0,0.0,0.2333333333333333
000011223345|241310-1-1-1-1-1-1,338,0.2944432539682539,6284.606509368366,0.029235433982208587,0.013888888888888888,0.3333333333333333,0.0,0.0,0.26666666666666666
000123455556|1032434-1-1-1-1-1,830,0.3640357253086419,6141.249608063154,0.0,0.0,0.0,0.0,0.0,0.19999999999999998
001234566667|01040434-1-1-1-1,918,0.3788720348324514,5363.350009066349,0.0,0.0,0.0,0.0,0.0,0.2
001234455556|3434034-1-1-1-1-1,1206,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
011123455667|13002131-1-1-1-1,0,0.3119510678461199,6007.377215156444,0.019850895902908852,0.003472222222222222,0.175,0.0,0.0,0.225
001234455556|3134034-1-1-1-1-1,954,0.3877683641975308,5502.849568443964,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001122345666|4034342-1-1-1-1-1,0,0.18936531084656083,6518.436836869904,0.0061258605103112285,0.023809523809523808,0.34285714285714286,0.0,0.0,0.2285714285714286
000011222223|3031-1-1-1-1-1-1-1-1,540,0.36071644620811283,6337.880249758982,0.05240863218008854,0.0,0.3,0.0,0.0,0.35
000122345667|20304242-1-1-1-1,0,0.17043012566137566,6684.285441205238,0.0,0.024305555555555552,0.175,0.0,0.0,0.17500000000000002
000000000011|34-1-1-1-1-1-1-1-1-1-1,368,0.3419054136353615,5754.544929923423,0.29634301762444193,0.013888888888888888,0.9,0.0,0.25323560410492857,0.2
001234556667|31030431-1-1-1-1,912,0.34821727292768956,5267.166249029591,0.0,0.003472222222222222,0.0,0.0,0.0,0.2
001112334556|0011334-1-1-1-1-1,0,0.3360545745149911,6370.694880054558,0.02043578016984358,0.0,0.5142857142857143,0.0,0.02308030761313983,0.2285714285714286
011112223345|310133-1-1-1-1-1-1,0,0.3102670400683421,6644.147570818231,0.03455706932332989,0.004629629629629629,0.6666666666666666,0.0,0.039272942862673965,0.3333333333333333
001234444445|310431-1-1-1-1-1-1,556,0.35528407186948846,5306.319009157678,0.016548475931851308,0.0,0.0,0.0,0.01379122165235216,0.26666666666666666
001222344567|13334030-1-1-1-1,0,0.29275966838899903,5630.535317741831,0.04324657156451163,0.010416666666666666,0.35,0.0,0.0,0.225
011112234556|1201012-1-1-1-1-1,0,0.25930179329254843,6895.225311642312,0.029620345134282768,0.011904761904761904,0.6857142857142857,0.0,0.03165155528293989,0.2571428571428572
011112234556|4201012-1-1-1-1-1,362,0.2463928426752645,6906.800776539895,0.029620345134282768,0.015873015873015872,0.6857142857142857,0.0,0.03165155528293989,0.2571428571428572
