Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
000111233445|111021-1-1-1-1-1-1,0,0.18806565255731922,6682.469797609329,0.0529423216202776,0.013888888888888888,0.3333333333333333,0.0,0.013329679553648305,0.2333333333333333
001112233445|041034-1-1-1-1-1-1,0,0.28139999035493823,6424.498259456354,0.029769245947900164,0.009259259259259259,0.5,0.0,0.005299118723090667,0.26666666666666666
001234445677|13414234-1-1-1-1,464,0.23543010361552025,5621.607466840827,0.002369857346767465,0.017361111111111112,0.0,0.0,0.0,0.22499999999999998
001223455556|3034034-1-1-1-1-1,672,0.36674323192239855,5607.32952067431,0.01828049000306534,0.0,0.17142857142857143,0.0,0.0,0.2285714285714286
001234455556|3032034-1-1-1-1-1,1608,0.37899025573192235,5498.964189040057,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
000000000000|3-1-1-1-1-1-1-1-1-1-1-1,0,0.35284925044091703,5950.469373404551,0.6103790736561728,0.0,0.0,0.0,0.6010492910256411,0.0
001234444445|303032-1-1-1-1-1-1,1280,0.34479052028218693,5264.668723115613,0.01970828572754126,0.0,0.0,0.0,0.01379122165235216,0.26666666666666666
001222233333|1203-1-1-1-1-1-1-1-1,882,0.37296251102292766,5988.469013392931,0.08012131030414912,0.0,0.3,0.0,0.05995481450829003,0.4
001223455567|10340303-1-1-1-1,606,0.3639532269620811,5650.039028084394,0.015995428752682173,0.0,0.175,0.0,0.0,0.225
000000001111|23-1-1-1-1-1-1-1-1-1-1,0,0.26788713624338617,6658.509463246107,0.2079518905967111,0.05555555555555555,0.7,0.0,0.2515165066178062,0.2
001234455556|3434034-1-1-1-1-1,4384,0.3877683641975308,5468.465390033628,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|3134034-1-1-1-1-1,1744,0.3877683641975308,5502.849568443964,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234444556|1341431-1-1-1-1-1,458,0.2581703165371472,5446.475811557978,0.0027084083963056743,0.015873015873015872,0.0,0.0,0.0,0.2285714285714286
000001122223|2112-1-1-1-1-1-1-1-1,0,0.20718060515873013,6719.565236963559,0.0627137958979869,0.027777777777777776,0.75,0.0,0.07115256513263563,0.35
000000001111|14-1-1-1-1-1-1-1-1-1-1,0,0.18764683641975308,6730.162359171492,0.2079518905967111,0.05555555555555555,0.7,0.0,0.2561785384000521,0.2
000111233456|4202303-1-1-1-1-1,0,0.21650214120370367,6560.921326100033,0.045379132817380805,0.023809523809523808,0.34285714285714286,0.0,0.008987804199958139,0.2285714285714286
012233445678|040444413-1-1-1,0,0.1777968639770723,6360.843723358492,0.004764558174686511,0.0154320987654321,0.35555555555555557,0.0,0.0,0.2222222222222222
000112233456|4232413-1-1-1-1-1,0,0.12979088955026455,6865.850438411697,0.012886462804126784,0.02777777777777778,0.17142857142857143,0.0,0.0,0.2285714285714286
001234566666|3032443-1-1-1-1-1,904,0.35257312610229274,5414.168790844769,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001234455556|1034034-1-1-1-1-1,1720,0.38698132716049377,5510.03602618671,0.0027084083963056743,0.0,0.0,0.0,0.0,0.2285714285714286
001223455566|3034030-1-1-1-1-1,756,0.3669542190255731,5567.712461467114,0.01828049000306534,0.0,0.17142857142857143,0.0,0.0,0.2571428571428572
001223455567|30340324-1-1-1-1,712,0.35630356178350964,5644.363112325745,0.015995428752682173,0.003472222222222222,0.175,0.0,0.0,0.225
001234566677|03034030-1-1-1-1,836,0.36726754574514986,5342.307996431363,0.0,0.0,0.0,0.0,0.0,0.225
001112222334|00041-1-1-1-1-1-1-1,0,0.22600216049382713,6459.417838509792,0.028610092237781014,0.016666666666666666,0.48,0.0,0.03231243065839576,0.32
001112233456|3112414-1-1-1-1-1,0,0.18156229607583774,6679.092901748174,0.02043578016984358,0.015873015873015872,0.5142857142857143,0.0,0.02308030761313983,0.2571428571428572
001122234556|4422000-1-1-1-1-1,0,0.2160762814153439,6581.937172982936,0.01180046539522612,0.019841269841269844,0.34285714285714286,0.0,0.008529731355034237,0.2285714285714286
011233345567|30304314-1-1-1-1,470,0.3363692350088183,6049.398307944274,0.002369857346767465,0.003472222222222222,0.175,0.0,0.009760922941363749,0.25
001111122234|30314-1-1-1-1-1-1-1,662,0.3740690255731922,6425.555496015548,0.07008087515525566,0.0,0.8,0.0,0.08759814333176799,0.32
001112333345|132304-1-1-1-1-1-1,612,0.35697406029541445,6202.604699279062,0.029769245947900164,0.0,0.5,0.0,0.005401573677023229,0.3
000011233445|310313-1-1-1-1-1-1,368,0.3427388337742504,6420.199588818214,0.034939088120059025,0.0,0.3333333333333333,0.0,0.0,0.2333333333333333
