Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
100101110011101011101101010101111000000111001101011100100000,0.057935142369748574,18539.07321062143,0.7391409481370019,0.016666666666666666,1.36,0.005263984071624428,0.3433855523401629,0.94
010101101111000100011011101111100011001011001101011001011001,0.09627457740324377,18294.054225452743,0.6680774660492376,0.016666666666666666,1.2,0.0,0.3211183919422873,1.06
001100100110001111100110101101010110011010001011000110000100,0.06538239831709872,16219.748442288377,0.7252569976768515,0.011111111111111112,1.4,0.0,0.265916835755171,0.96
000010111100000001110101000010101100000011000111101110110011,0.08950005565693256,12940.059941735453,0.6809981000349614,0.011111111111111112,0.62,0.005185558878934432,0.13571501958609306,0.7
110010111010111110100100110001111110011000110100010000010011,0.09473984610356417,17250.681105430987,0.6147277834247019,0.005555555555555556,1.14,0.0,0.2927834134150142,1.18
011001010000110001000011100010100000011111011011000110101100,0.1270701413492424,13092.086922466948,0.413196754466829,0.016666666666666666,1.22,0.0,0.16679316444568432,0.64
011101110111101110000101001111110001111010010010010011011110,0.09990501196812115,18992.91210490418,0.6589198498104547,0.005555555555555556,1.28,0.010927497022779065,0.3530570327482088,1.38
110001011111011011100100010011100111110111101000100110111111,0.07350865563165697,19122.633227757273,0.7068318197807997,0.022222222222222223,0.96,0.0028183705435931017,0.39551260598744953,1.06
111011100100110010101001111101011001100011001101000011000100,0.07646036632276787,16329.264663363743,0.6926319500841688,0.016666666666666666,0.96,0.030356879265988262,0.2844559667540508,0.98
101110010101111110100010000111101100101101111110001110111010,0.06594915571478252,18595.889756140226,0.7215996699746856,0.016666666666666666,1.02,0.015690414632820393,0.3859757701777378,1.38
010001010110011101110000100000110001100101001000010100001110,0.08331052660280822,12530.642005501639,0.600697750886815,0.011111111111111112,0.76,0.017694182610865195,0.12708500977093634,1.02
110110000011111100111001001110100101110110011001001101101101,0.08160007551414777,18487.517726596987,0.665961165967645,0.011111111111111112,1.14,0.01473011620852896,0.39432488490252454,0.96
111110110100110110111000000111101000011010000110111100101000,0.07551046077734028,15122.062481807994,0.7220033831220917,0.005555555555555556,0.62,9.012846368693928E-4,0.21914787708395203,0.92
100111011110100111001011011110100110001010101100110100010010,0.07785701781000377,18315.71023699071,0.7276258214141518,0.016666666666666666,1.8,0.012394208613967395,0.28447658075509635,0.72
110001011001001100011000101000011001110000010010001100000111,0.19836546105455174,11751.306890511547,0.43331282259968534,0.0,0.94,0.0,0.17538699787723042,0.88
010001011100001010110000110110100011000100011001110110011011,0.11816818409619481,13679.531500242309,0.647763852489166,0.005555555555555556,0.88,0.0,0.1350341923320836,0.8
000011011100000100111101101011011001100100111100100110101010,0.11973426310191185,15421.700102183228,0.5758810378520491,0.011111111111111112,0.86,0.004862264345866146,0.23399402843788417,0.7
001011100101001011110000001011110100100101010011000010100101,0.10593882348191971,13302.953147904289,0.632354270338705,0.005555555555555556,0.48,0.0,0.1804575425858884,1.04
001100111101011000000011001001100010000110010011011110001110,0.12267030778721998,13859.874556897428,0.45391462731131177,0.005555555555555556,1.12,0.014258770304321516,0.22888375875421701,1.22
001100111100000101101110110000011110000010111100101010100110,0.10696550597914342,15647.67053088042,0.5446110159078346,0.016666666666666666,0.62,0.0,0.23485990856659128,0.38
101110001110011110101111111010101000100100111000100010101100,0.08530658026527888,18941.350140883944,0.63448876309062,0.011111111111111112,1.28,0.026834750914371763,0.39516966680310034,1.24
011100101100101101110010011100011001001100010100011110010110,0.0863874395816748,15664.474171465965,0.697300696777279,0.0,0.86,0.0,0.20433349282240149,1.42
100111111100110110111000100010000100111001011000010100010010,0.08783115211752704,12997.094451505303,0.6163235542583217,0.011111111111111112,1.02,0.0,0.149913798548228,0.84
000110001000000001011111011110100101010000000001010010010010,0.09190826163277807,13253.917770754128,0.5327630013656415,0.0,0.58,0.09112162870696697,0.18372649543570477,0.38
110111100110000011000010111010101011100100011011111111100101,0.09878627541896974,15893.075532244717,0.6747085899000264,0.005555555555555556,0.78,0.0,0.2849264702246107,0.9
110101010100010001100100110110001100010010011111111110101101,0.0935570947358059,15426.18902055022,0.6902174081645527,0.011111111111111112,0.88,0.00804757709967921,0.2787817807209016,1.06
010001000100011111101010000011101011111100011110111111110100,0.06308975900244006,16160.859157027924,0.7559563017253024,0.005555555555555556,1.08,0.009948632503108124,0.3074012399524861,0.96
010010110101011110011100001110111101000101010111101001000010,0.08102645343522794,16850.7454858513,0.7184501117389301,0.005555555555555556,1.26,0.03416784806346479,0.25797890312614313,1.22
010111110101001011101110001010010110100010011000011101111011,0.06990339261004684,17857.907415336984,0.656859726534995,0.011111111111111112,1.14,0.04324079014440646,0.32792456728012687,0.72
010011111100101010100110101100001101001010001111100101011011,0.09413836987910602,16396.636780211767,0.6526715646665916,0.011111111111111112,1.28,0.01436040324503271,0.2754712879526634,1.36
010000101110000000000001010011111111100000100101011110111110,0.15626307743832699,13548.21351572853,0.43841191804183655,0.005555555555555556,0.46,0.0,0.179523941577104,0.64
111010111110010110010000010011000001011111010011011110000100,0.10827708708104863,13420.246588594542,0.6817089604745814,0.011111111111111112,0.5,0.0,0.1300783617964636,0.86
110111000000110001100000010011000100000010001101100100011001,0.13867833751914305,10887.555993384449,0.5570863463358146,0.011111111111111112,0.34,0.0,0.08493070902208737,0.94
101100010010010011011000110100101111100011001111110111110101,0.09592986424061561,17033.46642210863,0.7066734044871046,0.016666666666666666,1.06,0.0023018931220439576,0.28688830187524467,0.84
101000110101111110110100001101001001000001010110001101000110,0.086429538698067,16011.196299398727,0.7113836192803221,0.005555555555555556,1.04,0.0,0.25360408028831727,0.84
101110000011011010010000110111100000111010110001001011010111,0.07490829431680301,16303.68872570043,0.6586220666833039,0.011111111111111112,0.94,0.022082132452777986,0.3168733343646351,0.94
100100000011001001001100101100100111110110100001010000101000,0.09888113870135254,13152.35347922497,0.39257087383107764,0.011111111111111112,0.86,0.013173207648947222,0.21246169042536422,0.78
101010101100110001011111111100011000001101011001000111000001,0.10430720233850355,17369.156406459762,0.5825062841029619,0.011111111111111112,1.12,0.019445255406110168,0.30648207542089767,1.12
011001101001111100110011010011010110101001001010100000101101,0.11402689032699964,16696.53600343708,0.5964689778678353,0.011111111111111112,1.08,0.0,0.30428983125349784,0.92
111010110010100111010011010111110000000101000000001010011100,0.065631189536076,16599.572867249663,0.6682706331661107,0.005555555555555556,0.98,0.0,0.25630646106515764,0.58
101010010011001101011100111010000110111000010111100010100100,0.07264884080335084,15835.76267493746,0.7177293147854232,0.0,1.04,0.012836163228889225,0.2618655011959138,1.52
110111110000111000010110101011000001000101111110001100000110,0.11048968696328162,15429.99617925112,0.5755409024868833,0.016666666666666666,1.46,0.004116828975980952,0.2830510178152356,0.74
011001111111011100110011001000001000110101011010010011110010,0.11048755385481869,15496.555768737218,0.59721960320913,0.011111111111111112,1.1,0.015250569199861341,0.27547503750041014,1.12
100111011111110001100001110100100110001111011001110000001010,0.12055207848945913,16351.317628377445,0.567894616698694,0.016666666666666666,1.28,0.015324656566833544,0.2430868262030847,0.96
100001001010111010010010101001001001011000011110111001101101,0.15760934609785218,14932.065574377026,0.5375882234968568,0.005555555555555556,1.04,0.010370242271441038,0.22639087887594225,0.68
100101111011101010100011101110000010010001010101000100001010,0.11964157197797354,16083.713163437307,0.5374176755549152,0.005555555555555556,1.08,0.0023028355800880362,0.2552342993473976,1.08
000100001101110010101010000101100010100110000101100000010111,0.09936539178516803,13716.637000849703,0.5936221906064884,0.005555555555555556,0.82,0.0,0.1564056548091899,0.92
110110111101110000010111000010110101000011100011110111110111,0.12228379455925503,17443.866001782877,0.5692467325702866,0.016666666666666666,1.22,0.0,0.30892604901860404,1.28
000000011110101100101110011101010001101100011010001001100100,0.09353727201164083,15600.95809797783,0.6303373657196006,0.005555555555555556,1.02,0.0,0.2732746766593631,0.6
001100111111110010110011111010101010000101011010110110001101,0.12368996070724098,19394.586802496764,0.5762579224184184,0.011111111111111112,1.48,0.01708173438113314,0.38285173299856534,1.42
011101011001011010010001011000000010100100101010110111110010,0.11625851438926282,13382.028876067481,0.5373470988791895,0.011111111111111112,0.9,0.0,0.21467725669599108,1.02
100100101101111111111101000111101001010001111110010011111111,0.05254660122832998,21664.17918567144,0.8102824486702248,0.016666666666666666,1.34,0.025517495555907488,0.4699881543326983,1.6
100001100001000101000100110001101000001110010101001101101111,0.15848415255110354,13576.439400706713,0.41102227928971624,0.005555555555555556,0.54,0.0,0.2092096143049189,0.68
111100100111000100011001101000100001111101101110000011110100,0.1397635353108755,14334.885638312662,0.47868147618235984,0.016666666666666666,1.06,0.015250569199861341,0.19890108848115146,1.04
110010111110011011010111001001010101010101000111000111110100,0.12809848075257008,16800.284972982903,0.5596621125138164,0.005555555555555556,1.0,0.021059436363159212,0.30597749975676936,1.38
101101010101000010111011110001010100100010011110000011011010,0.0939726830831315,15775.689269853396,0.6117777323084583,0.011111111111111112,1.06,0.004776292042388691,0.25879845861890327,1.1
010101011110100010101111100111010001010001010100000111011110,0.10148348298576372,17984.89379697055,0.5998972868169691,0.005555555555555556,0.86,0.025247859839229336,0.35438358857787244,1.06
101001010100001111111011101110011011000111011011110101011101,0.047277226505852796,19967.75408283215,0.8144465527626871,0.016666666666666666,1.06,0.03910252201704287,0.4051530122406427,0.86
111011110001001101110111010000110100011110111111000001001011,0.08574782760921229,17290.306638862363,0.739909466512605,0.016666666666666666,0.94,0.040696317579340946,0.3007241683821448,1.16
110110100000100100011101010000000100110011111111101000001001,0.09532589216091479,13600.705355802667,0.6538359385390272,0.022222222222222223,0.82,0.0,0.14247450328260175,0.88
011000011100100010000000101001001111111111010000001100111100,0.15750216705631553,12356.311650152093,0.2480385291764354,0.011111111111111112,0.26,0.0,0.16939101240690232,0.58
110011000000111000100010110001110111001110000010110001011010,0.13599116663704475,13907.138170184971,0.46286384997099184,0.005555555555555556,0.64,0.05756670287484844,0.19135575534193056,1.24
011101011100101101110001001111001110000010110000011001001001,0.07692941679551665,15869.504730011593,0.6860103689572001,0.011111111111111112,0.96,0.0029400937167703978,0.2491064566857773,0.84
000101110001111010011001000000101001101010101110001011100000,0.11635547446545488,13153.944104660219,0.4580398276007937,0.016666666666666666,0.7,0.023804853688055905,0.18235550109381968,1.02
101100010100001101000010101101000101000000110101101110010110,0.12359968866547934,13519.875918993152,0.5441740781226709,0.005555555555555556,1.14,0.0,0.16854109108891638,0.74
100101100111110111001101000101101110101111110111011010011110,0.10909759801404731,20955.37865704099,0.6900636184340988,0.016666666666666666,1.48,0.0,0.4027294373001781,1.28
100111011011111110010100001110100110000101001010011001101000,0.08233427142678368,16931.61643238134,0.6225569717697834,0.011111111111111112,0.98,0.050918902430938384,0.3047032617071312,0.96
100000111010000110000010100110100111111110011000011011100001,0.08768857101478104,13026.927182806157,0.5904726612496349,0.011111111111111112,0.72,0.0038874038178435266,0.21231092087920228,0.74
