Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
011100011111101010100110101010011100001100000010111101100001,0.11367615048158364,15599.619746959681,0.4391515860142373,0.0,0.98,0.02345836111247232,0.2962126779839946,1.22
000111100110100110010001100110011100101010110001011011111010,0.06788667840925579,15859.169706590139,0.703004408494448,0.011111111111111112,1.18,0.0060615638495850055,0.27854135147863,1.36
101110011001111010110000101111100001110011111000111100100101,0.09813231919254364,17541.693286657195,0.6172827943140364,0.022222222222222223,1.06,0.01830593535320371,0.3299883000954786,1.24
110100110011001010010010111111111111110001011000011001101001,0.0973105710018185,18653.552898425864,0.5795824181406777,0.011111111111111112,1.16,0.013016350404874033,0.35360385929833793,1.06
001010101110101000001101010001011110010100010100110101111010,0.16368288323251096,14314.165245344639,0.3877094440008789,0.0,0.9,0.040698131189380954,0.27824913591483674,1.06
110010110100111100110010111001111010110100001100101111010001,0.11019286495086583,17092.01598610474,0.5545750693551642,0.005555555555555556,1.32,0.00591162490035721,0.3083183480947475,1.28
000111100010011001110101000001010011101110001010111000101010,0.11099189499547199,13599.63634738242,0.5821039038570921,0.011111111111111112,1.16,0.012052233288380287,0.23085169798420946,0.96
111110110000011010101101100100110000100011110110110111101100,0.09266210334125283,16694.69177174491,0.6562780070617604,0.016666666666666666,0.88,0.02269708592626607,0.31670283354585826,1.16
100001000011101101101111001101100000010111011001011000111001,0.06420181489351787,18929.951771060078,0.720781600574179,0.016666666666666666,1.28,0.0036148826699247127,0.36438377662581556,0.5
011010010011111010110101000110011101110001111001000010111010,0.1307153239589598,17232.933416690496,0.6075320991589447,0.016666666666666666,1.22,0.0,0.3363778399751796,0.86
011011010011100101000010001100111100100101011110011111010111,0.1402952188242671,17540.718866578714,0.5653505622013457,0.011111111111111112,1.24,0.0,0.30460948383492875,1.3
000100110100010110111000111011010011011101001100010000010101,0.14360684673065716,14297.024299532271,0.6396530445783768,0.011111111111111112,0.94,0.024003133090582746,0.21194131547360806,0.64
110010011000010011110111000111111000011001010110000100011111,0.11703822671141707,17249.46920019278,0.695253189100273,0.005555555555555556,1.42,0.0,0.2802196582444916,1.14
110111110111100100101001010001111011001101110110110000011001,0.09843820748097722,17439.475210582423,0.6002490285748865,0.011111111111111112,1.26,0.004176360877826579,0.23012201965986812,1.0
001110001110100101010010110011110111010001101011010110000111,0.10739744647391303,16931.756149606328,0.6573220850216553,0.016666666666666666,1.54,0.03456392296108082,0.2598316966572909,1.1
110001101101010000001110101001000010110010011111111001000011,0.10992629570947698,14519.007280503436,0.5861982985747617,0.011111111111111112,0.94,0.0066570173820472145,0.2529922078269923,0.86
111001111000101111011101001000001111001000000011110001010011,0.08638872438579843,15421.788559771596,0.7194525871732841,0.0,0.9,0.0184631257704585,0.22762940875551702,1.38
