Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
100000000011011001111010110010111100111111011000110101111110,0.11975717166890454,18881.11588928174,0.6167585559827244,0.016666666666666666,1.18,5.821409402214928E-4,0.39742502871201785,0.88
000110011100000100111101011010100001111111001001011011100000,0.07140823577639896,13653.892393812792,0.6420499546372046,0.016666666666666666,0.74,0.016595981514587854,0.1842419260978147,0.52
110111011000000101011011110000010101010100001101110101100110,0.15231989629410642,13233.52863205291,0.5931372848446038,0.005555555555555556,0.84,0.026779590762767286,0.2059310808882961,0.98
110010010010110001110001000101011111011101101101000100111100,0.13404169862149443,15566.955246630263,0.5725066366300343,0.016666666666666666,0.58,0.0,0.2319081851040853,1.5
011000111001001000010111010111001101101001010100011110100011,0.11011120235280837,15733.473123891084,0.5771138737311122,0.005555555555555556,1.3,0.01808748536338528,0.30218496102132686,1.0
001011111010010101110111011111000010111001001110111111001001,0.060382053893098295,18870.841210180337,0.7960093995868445,0.011111111111111112,1.1,0.008209005564656452,0.3964842217933593,1.42
001100111100010110100011110011000011101000100100000100111010,0.08202863066644214,13839.965197835238,0.607850468468363,0.005555555555555556,1.18,0.0,0.14918353138098664,0.66
001011011001111111010010110100001001101010000011101110011101,0.09179262208671762,17605.990802019245,0.6986803787386882,0.005555555555555556,1.14,0.030410427386245997,0.318140613191886,1.2
001101100100011100100110111110101111111111001101000011110110,0.09207176097997513,18276.286400190176,0.6440219673989094,0.016666666666666666,1.02,0.012171253571869073,0.37546938826429993,1.28
011011000010011110010111010110110111110010110100111001011001,0.07600305183272377,18608.378536482043,0.7161988244458634,0.011111111111111112,1.2,0.02208188017479662,0.3459073403396451,1.44
101001011001111110111100110101001100110110110110101000111101,0.06861713494808154,20040.976373387726,0.7611363594711487,0.011111111111111112,1.26,0.0,0.4068407368535989,1.08
001011011101010011011001011011111011110000111001011101000110,0.08480132167498429,17727.787837741438,0.6917743121169271,0.011111111111111112,1.02,0.014527246727052384,0.34137046060870746,1.28
100100010110011100000111101111010000101011111011100000100100,0.07135397806182954,16643.449803969947,0.69355896789505,0.022222222222222223,1.06,0.026766697812305174,0.3050381863773113,1.08
011100000100101100000111100111111011111010001001010110001101,0.12701804543353537,16832.174019257007,0.499169082133659,0.011111111111111112,1.2,0.01373830728264891,0.2776766982457186,1.12
001011101111100100011001010001111010111111100110111100100111,0.11757785944894758,17918.505728783468,0.58262788374819,0.016666666666666666,1.14,0.01262630654337607,0.3162240483862634,1.42
110001010010000000011100101110001101000011110101110100000101,0.07705873285375206,14287.167616999566,0.6620519603131328,0.016666666666666666,0.94,0.026728151033349273,0.18693317611915838,0.88
110111011001101011011000010111110011010111010101010001101101,0.07920757902082806,17963.41660814146,0.7337095112723592,0.011111111111111112,0.88,0.002476995089498557,0.32883583324124965,1.48
100101001010100110110111100100111111001101101000101101100011,0.07433768672164953,17895.464042499854,0.70982319471217,0.016666666666666666,1.12,0.031781413908127915,0.37590003646438647,0.86
000001100010101011000010111011100010101000101011000000100010,0.11148076208083905,13912.907940718389,0.5351750926923422,0.011111111111111112,1.06,0.011634944817121934,0.19575209535650542,0.56
