Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
000110011000010101110110101100110010100000100000101110011100,0.08542301417821825,15132.307595034303,0.6684950659912215,0.005555555555555556,0.9,0.0,0.20065885744304515,0.98
011101100010010000101111001100101101000101111010100001011100,0.14402224041122133,16422.042179847085,0.4248564056112031,0.016666666666666666,1.28,0.006913244985512629,0.3329025409332456,1.1
110010110111101110101011001010111110000001100101010101101110,0.08664222941695536,19666.6102248714,0.6949824792857783,0.011111111111111112,1.16,0.004986306765370985,0.3977701160877884,1.06
001001100100001111100001111100011101111110011010101111000101,0.07832668438188506,16021.787371849065,0.7124184769616828,0.011111111111111112,0.76,0.018113653011063047,0.29892978562334444,0.9
011110000100111110100011010000011101110101100101110100000100,0.08938417516372099,14352.464654665466,0.6739717146327242,0.011111111111111112,0.9,0.0,0.18716797092721796,1.14
000010100101001000100100101001001001111111001001010011010001,0.11452597873975184,12064.903465742227,0.43757178947053366,0.016666666666666666,1.62,0.0,0.17955191973467605,0.62
111011010100011110110011101010010101000011000011000100011110,0.07983132091871564,16362.925046974018,0.7198782144346334,0.011111111111111112,1.1,0.0,0.24314700383385207,1.22
111101110011000101101100101101100011111001101110010011111010,0.06565325694829185,18375.853029725564,0.7463090970807654,0.016666666666666666,1.34,0.03664641903360066,0.33633015732676996,1.12
100000111100110111011010011011110111000101111010110000101100,0.06458100539575454,18155.462380475597,0.7779807681750511,0.016666666666666666,1.1,0.02508686508810795,0.3364390530010926,1.08
101110100010010010111001011011111000111110010101101001001000,0.11040263316795415,16014.976421563391,0.6618889595231102,0.005555555555555556,1.4,0.0,0.2633549030908993,1.16
001001100011111001111111001000000011110010011111000000011000,0.07084393815405982,16891.906825115475,0.7100656963036893,0.011111111111111112,1.16,0.018557292581009688,0.2816120686494733,0.68
011001010100010111000110100111000001010110011100100010010100,0.07409853297242433,13965.931597697683,0.7029513390322718,0.011111111111111112,1.1,0.0,0.11976406066515696,0.8
101000011101000001101110010110000111011011010011010111001010,0.12116281543220643,15430.811659227667,0.614002683061653,0.011111111111111112,1.04,0.003182776865252257,0.29071666423846787,0.94
010111011001011100011100010001001000001001010111111111000111,0.11560238284333861,15596.75979870737,0.6559704162031643,0.005555555555555556,1.06,0.027117320033050757,0.28469254639182234,0.92
001101111110110100100101100100100001001101111100001010000001,0.10813582445718914,14646.81271034151,0.5326774469230162,0.016666666666666666,1.14,0.03231248188956354,0.2130108553754509,0.84
011010000101110010011111101000011011101100010001010011101010,0.09443542011899814,15854.819495057993,0.4821541848034464,0.0,1.06,0.004260031518516116,0.32329324172607565,0.84
101000011000100000101101011011001100011011100101000110110101,0.1094224603345818,15329.233796683244,0.5787911138613466,0.016666666666666666,0.86,0.042746942541394856,0.265162269844257,0.48
010110000011110000111110001000101011011000101111101111001101,0.09668931704623772,17333.915995147472,0.6458304048202936,0.011111111111111112,0.9,0.006133451020857744,0.31317355107983635,1.34
111110101111011010010111000100010001010010011001111010000100,0.08752465360399109,15772.63175669261,0.5983471489585016,0.011111111111111112,1.16,0.0,0.267360657186586,1.12
000111010011100011110011011011111111011000100100111101000101,0.07061349575781355,18812.444789473568,0.754929453759839,0.005555555555555556,1.2,0.0033522555882677108,0.36880330151011165,1.32
110101111011001101111101110100000001001100001010001101010011,0.08312119032007922,17195.585892903848,0.7170302261449144,0.005555555555555556,1.3,0.011020115427169297,0.31575522463465505,0.62
000011101110000111111100111111010011010100111100001101000110,0.04925809498553154,18467.733540097375,0.7973563323480563,0.011111111111111112,0.9,0.00223630092589322,0.3452547206600268,0.52
011111010011111110011000111111011111011100111111110100100100,0.06658090859173711,21223.90082124264,0.7779938555371612,0.011111111111111112,0.98,0.0,0.4448742184589708,1.08
110001011110100111010011010001111110010101110011011011101001,0.0884478084370898,17999.41629702195,0.7014648400316545,0.011111111111111112,0.94,0.017607142450517976,0.3288554723540208,1.34
100000001100111111010000010110000101110001110001011111110111,0.0683779544542072,15479.125766615063,0.7371107874558663,0.011111111111111112,0.44,0.0,0.28948529116221833,0.84
010000000000100001001011100101011010110111101011100111000001,0.11946087756436277,14007.964984578091,0.45860658557728967,0.022222222222222223,0.98,0.0,0.18290824426307115,0.28
