Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
0 0 0 0 0 1 1 1 1 2 2 2 | 2 2 2 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.12066874999999999,6799.794124135366,0.08361839453064919,0.07407407407407407,0.6666666666666666,0.0,0.09487008684351417,0.4666666666666666
0 0 0 1 1 2 2 3 3 3 4 4 | 1 0 0 2 1 -1 -1 -1 -1 -1 -1 -1,0.22086619819223982,6723.621126893897,0.018041047925777497,0.02222222222222222,0.16,0.0,0.0,0.31999999999999995
0 0 1 2 2 2 3 3 4 4 5 6 | 0 2 0 1 2 3 0 -1 -1 -1 -1 -1,0.23600212870645942,5630.322935042885,0.045379132817380805,0.011904761904761904,0.34285714285714286,0.0,0.011425439617412833,0.2571428571428572
0 0 0 1 2 2 3 3 4 4 5 6 | 4 0 1 0 2 4 0 -1 -1 -1 -1 -1,0.16363779761904762,6443.904861862551,0.0,0.023809523809523808,0.17142857142857143,0.0,0.0,0.2285714285714286
0 0 0 0 0 1 1 1 1 2 2 2 | 2 4 0 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.20900402612433863,6776.9624153349105,0.08361839453064919,0.05555555555555555,0.6666666666666666,0.0,0.09487008684351417,0.4666666666666666
0 0 0 0 0 1 1 1 1 2 2 3 | 2 4 3 0 -1 -1 -1 -1 -1 -1 -1 -1,0.22681008726025126,6550.996914757192,0.0627137958979869,0.041666666666666664,0.75,0.0,0.07115256513263563,0.35
0 0 1 1 2 2 3 3 3 4 5 6 | 3 0 3 2 3 4 1 -1 -1 -1 -1 -1,0.2655971009700176,6495.742157046315,0.0061258605103112285,0.015873015873015872,0.34285714285714286,0.0,0.0,0.2571428571428572
0 0 1 2 2 2 2 3 3 4 5 6 | 0 3 4 2 4 0 2 -1 -1 -1 -1 -1,0.19001349481922397,5867.827649414572,0.04981233989559118,0.019841269841269844,0.34285714285714286,0.0,0.015563098982947502,0.2571428571428572
0 0 0 0 1 1 2 2 3 3 3 4 | 2 1 2 2 0 -1 -1 -1 -1 -1 -1 -1,0.1186548611111111,6420.289940381807,0.0350825207786503,0.04444444444444444,0.32,0.0,0.0,0.27999999999999997
0 0 0 0 1 1 1 2 2 3 3 3 | 0 0 4 0 -1 -1 -1 -1 -1 -1 -1 -1,0.2727830054012345,7006.141615929404,0.04385315097331288,0.020833333333333332,0.3,0.0,0.019521845882727498,0.35
0 1 1 1 2 2 2 2 3 3 3 4 | 3 3 4 1 4 -1 -1 -1 -1 -1 -1 -1,0.27510857032627867,6363.891194552075,0.031761433444654166,0.01111111111111111,0.32,0.0,0.0,0.36
0 0 1 1 2 2 2 3 3 3 4 5 | 4 4 2 0 1 1 -1 -1 -1 -1 -1 -1,0.22894433077050264,6371.202425357705,0.013767209627763807,0.018518518518518517,0.3333333333333333,0.0,0.009951353247539943,0.30000000000000004
0 0 0 0 0 1 1 1 1 1 1 1 | 3 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.20783767636684303,6120.281265912204,0.21505840669544907,0.06944444444444445,0.5,0.0,0.21658102147048697,0.7
0 0 0 1 1 1 1 1 1 2 2 2 | 0 0 3 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.314516723159171,6824.509550505284,0.13960197221516335,0.009259259259259259,0.39999999999999997,0.0,0.11958366941722469,0.4666666666666666
0 0 0 0 0 1 1 1 1 1 1 2 | 2 2 0 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.12563402777777777,6559.841931190453,0.10371545299012737,0.07407407407407407,0.6666666666666666,0.0,0.1575230097828966,0.4666666666666666
0 0 0 0 0 1 1 1 1 1 1 1 | 4 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2519173859126984,6515.587989763566,0.1966167876835031,0.05555555555555555,0.5,0.0,0.26444065059415756,0.7
0 0 0 0 0 0 0 0 0 1 1 1 | 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.29013138503086416,6886.963180789008,0.24441574294284696,0.013888888888888888,0.9,0.0,0.27815132831907985,0.2
0 0 0 0 0 1 1 1 1 2 2 2 | 1 3 2 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2585426160163139,6805.675557854385,0.08361839453064919,0.018518518518518517,0.6666666666666666,0.0,0.09911006411299866,0.4666666666666666
0 0 0 1 1 1 1 2 2 3 3 3 | 0 2 4 1 -1 -1 -1 -1 -1 -1 -1 -1,0.2405823357583774,7031.854366377751,0.08012131030414912,0.027777777777777776,0.3,0.0,0.05611857737605482,0.35
0 0 0 0 0 1 1 2 3 3 3 3 | 3 0 4 0 -1 -1 -1 -1 -1 -1 -1 -1,0.29999993661816576,6635.943933052822,0.07048652493579863,0.013888888888888888,0.75,0.10548628076849492,0.048171820482570356,0.35
0 0 1 2 2 2 3 4 4 4 5 6 | 2 2 2 2 1 2 1 -1 -1 -1 -1 -1,0.21755251322751318,5643.16644773953,0.045379132817380805,0.019841269841269844,0.34285714285714286,0.0,0.008987804199958139,0.2571428571428572
0 0 0 1 1 1 2 2 2 2 3 4 | 3 1 0 1 1 -1 -1 -1 -1 -1 -1 -1,0.28027975846009695,6620.091365261563,0.06353078594433312,0.005555555555555555,0.32,0.0,0.015995615464377964,0.31999999999999995
0 0 0 0 0 1 1 1 1 1 2 2 | 0 4 0 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.19301726466049382,6329.622987237228,0.10321308063299044,0.037037037037037035,0.6666666666666666,0.0,0.09911006411299866,0.5333333333333333
0 0 0 1 1 1 1 1 2 2 3 3 | 2 1 3 2 -1 -1 -1 -1 -1 -1 -1 -1,0.2734263020833333,6581.041833044925,0.08066234761674296,0.020833333333333332,0.3,0.0,0.06568287707454289,0.39999999999999997
0 0 0 0 0 1 1 1 2 2 3 3 | 4 4 0 0 -1 -1 -1 -1 -1 -1 -1 -1,0.22844565972222222,6265.311089565055,0.07048652493579863,0.034722222222222224,0.75,0.0,0.048047426649920996,0.39999999999999997
0 0 1 1 1 2 2 3 4 4 5 6 | 3 1 0 3 0 1 0 -1 -1 -1 -1 -1,0.312085082534171,6513.668412218663,0.02043578016984358,0.003968253968253968,0.5142857142857143,0.0,0.02308030761313983,0.2571428571428572
0 0 0 0 1 2 2 2 2 2 2 2 | 0 4 2 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.20490860890652554,6392.593614474604,0.0955666931723544,0.0462962962962963,0.13333333333333333,0.0,0.10832362017818863,0.4666666666666666
0 0 0 1 1 1 2 3 4 4 5 5 | 4 4 0 0 4 3 -1 -1 -1 -1 -1 -1,0.18096352641369046,6091.915488967844,0.05766209541934884,0.02777777777777778,0.3333333333333333,0.0,0.0,0.26666666666666666
0 1 1 2 3 4 5 5 5 6 6 7 | 1 0 3 3 1 4 4 3 -1 -1 -1 -1,0.1909606040564374,5663.699607952601,0.002369857346767465,0.017361111111111112,0.0,0.0,0.0,0.22500000000000003
0 0 1 1 1 2 2 2 3 3 4 4 | 4 4 4 0 2 -1 -1 -1 -1 -1 -1 -1,0.22536855158730157,6126.946530462353,0.0357230951374802,0.03333333333333334,0.48,0.0,0.0063589424677088,0.36
0 0 0 0 1 1 2 3 4 5 6 7 | 1 0 0 4 1 0 0 0 -1 -1 -1 -1,0.2853294133046737,6672.664135576033,0.02192657548665644,0.006944444444444444,0.35,0.05274314038424746,0.0,0.2
0 0 0 1 1 1 1 2 3 4 4 5 | 2 0 4 3 4 4 -1 -1 -1 -1 -1 -1,0.21838278356481483,6849.340018005898,0.05341420686943275,0.02314814814814815,0.3333333333333333,0.0,0.03996987633886002,0.2333333333333333
0 0 0 0 0 0 1 1 1 2 2 2 | 3 4 1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2764479111552028,6502.784730689847,0.14552933405582957,0.027777777777777776,0.9333333333333332,0.0,0.1184738261126629,0.4666666666666666
0 1 1 2 2 3 3 4 4 5 5 6 | 0 2 4 0 1 4 3 -1 -1 -1 -1 -1,0.19115756172839507,6068.09486882734,0.01828049000306534,0.019841269841269844,0.17142857142857143,0.0,0.0,0.2571428571428572
