Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
0 0 0 0 1 1 2 2 3 3 3 3 | 3 0 2 0 -1 -1 -1 -1 -1 -1 -1 -1,0.27959815090388,6419.758453011842,0.05240863218008854,0.013888888888888888,0.3,0.0,0.0,0.35
0 0 1 2 2 3 4 4 5 5 6 7 | 3 3 4 2 2 0 2 3 -1 -1 -1 -1,0.26081277557319216,5620.482870564634,0.015995428752682173,0.013888888888888888,0.175,0.0,0.0,0.22500000000000003
0 0 0 0 1 1 1 2 2 3 3 4 | 4 3 2 4 2 -1 -1 -1 -1 -1 -1 -1,0.1406356812169312,6463.735941005658,0.04192690574407083,0.04444444444444444,0.32,0.0,0.0,0.27999999999999997
0 0 1 2 2 2 3 4 4 5 5 6 | 1 1 0 4 2 3 0 -1 -1 -1 -1 -1,0.29413757844190913,5871.780479008043,0.045379132817380805,0.011904761904761904,0.34285714285714286,0.0,0.011425439617412833,0.2285714285714286
0 0 0 0 0 0 1 1 1 1 1 2 | 3 2 1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.20733350970017633,6269.82737757436,0.14552933405582957,0.0462962962962963,0.9333333333333332,0.0,0.1184738261126629,0.4666666666666666
0 1 2 2 3 3 3 4 4 5 5 6 | 3 3 4 3 4 0 0 -1 -1 -1 -1 -1,0.24251317515432094,6467.676634297878,0.01180046539522612,0.015873015873015872,0.34285714285714286,0.0,0.0,0.2571428571428572
0 0 1 1 1 1 2 2 2 3 3 3 | 4 4 2 1 -1 -1 -1 -1 -1 -1 -1 -1,0.21863182870370365,6424.920068053508,0.09372104480671278,0.041666666666666664,0.75,0.0,0.0641774974879612,0.4
0 0 0 0 1 2 2 3 3 3 4 4 | 0 3 3 4 2 -1 -1 -1 -1 -1 -1 -1,0.20784194223985888,6113.289515572961,0.0350825207786503,0.02777777777777778,0.16,0.0,0.0,0.32
0 0 0 0 0 0 0 1 1 1 2 2 | 1 4 1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.17217241512345677,6549.888671707794,0.13809840621506886,0.037037037037037035,0.9333333333333332,0.0,0.1674790824315989,0.3333333333333333
0 1 1 2 2 3 3 4 5 5 6 6 | 2 4 1 1 2 1 1 -1 -1 -1 -1 -1,0.20882743055555553,6002.524714128937,0.012886462804126784,0.015873015873015872,0.17142857142857143,0.0,0.0,0.2857142857142857
0 0 0 1 1 1 2 3 4 4 5 6 | 2 2 2 2 3 2 3 -1 -1 -1 -1 -1,0.2524772280092592,6392.250678389893,0.045379132817380805,0.019841269841269844,0.34285714285714286,0.0,0.008987804199958139,0.2285714285714286
0 0 1 2 2 3 3 3 3 4 4 5 | 2 3 4 0 4 3 -1 -1 -1 -1 -1 -1,0.17824861111111112,5881.503224288399,0.021327238336909565,0.027777777777777776,0.16666666666666666,0.0,0.0,0.26666666666666666
0 0 0 0 0 0 1 1 1 2 2 2 | 1 1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2910314801036155,6834.14452777915,0.13739763476094732,0.009259259259259259,0.9333333333333332,0.0,0.14619576607573906,0.4666666666666666
0 0 0 0 0 1 1 1 1 1 1 1 | 3 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.20783767636684303,6120.281265912204,0.21505840669544907,0.06944444444444445,0.5,0.0,0.21658102147048697,0.7
0 0 1 1 1 2 2 3 3 3 3 4 | 3 1 3 4 3 -1 -1 -1 -1 -1 -1 -1,0.18819412477954142,6312.682406285325,0.028610092237781014,0.02777777777777778,0.48,0.0,0.03231243065839576,0.32
0 0 1 2 3 3 4 5 5 6 7 8 | 3 2 0 3 2 1 4 2 3 -1 -1 -1,0.2211063271604938,5918.363822449965,0.0,0.009259259259259259,0.17777777777777778,0.019328208002976865,0.0,0.20000000000000004
0 0 1 2 2 3 3 3 3 4 4 5 | 4 0 3 2 3 1 -1 -1 -1 -1 -1 -1,0.25577586106977507,5853.100522999328,0.021327238336909565,0.02314814814814815,0.16666666666666666,0.0,0.0,0.26666666666666666
0 0 0 0 1 1 1 1 1 2 2 3 | 3 1 3 0 -1 -1 -1 -1 -1 -1 -1 -1,0.30645889412477956,6458.117299580408,0.05240863218008854,0.006944444444444444,0.44999999999999996,0.0,0.06184251900530125,0.35
0 0 0 0 0 0 1 1 2 2 3 3 | 2 2 0 2 -1 -1 -1 -1 -1 -1 -1 -1,0.21041319444444442,6177.739377821268,0.10304822607071049,0.04166666666666667,1.05,0.0,0.10711682283984074,0.39999999999999997
0 0 1 2 2 3 3 3 3 4 4 5 | 3 0 3 4 1 1 -1 -1 -1 -1 -1 -1,0.2764479111552028,5848.524710632135,0.021327238336909565,0.013888888888888888,0.16666666666666666,0.0,0.0,0.26666666666666666
0 1 1 1 2 3 3 4 5 6 7 8 | 1 0 3 0 0 1 1 2 0 -1 -1 -1,0.29910729717813045,6480.804688816559,0.01359827505847312,0.006172839506172839,0.17777777777777778,0.0,0.0,0.2222222222222222
0 0 0 1 1 2 2 2 3 3 3 4 | 3 2 0 2 3 -1 -1 -1 -1 -1 -1 -1,0.20918671737213398,6757.54341868904,0.018041047925777497,0.02777777777777778,0.16,0.0,0.0,0.27999999999999997
0 0 0 1 2 2 3 3 4 4 5 5 | 3 1 4 0 4 4 -1 -1 -1 -1 -1 -1,0.22043453483245148,6268.801759968046,0.0,0.018518518518518517,0.16666666666666666,0.0,0.0,0.26666666666666666
0 0 0 1 1 1 1 1 1 2 2 2 | 1 2 3 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.25473281653714724,6818.949822585512,0.13960197221516335,0.037037037037037035,0.39999999999999997,0.0,0.11548778121619618,0.4666666666666666
0 0 1 1 1 1 2 2 2 3 3 4 | 0 1 3 4 1 -1 -1 -1 -1 -1 -1 -1,0.25011999696869486,6455.036737085611,0.0695634752156111,0.01111111111111111,0.8,0.0,0.07103120211505914,0.32
0 1 2 2 3 3 4 4 5 5 6 7 | 0 2 0 0 1 0 4 4 -1 -1 -1 -1,0.2598529982363315,6265.222924664814,0.005360127946522325,0.010416666666666666,0.35,0.0,0.0,0.25000000000000006
0 0 1 2 2 3 3 3 4 5 6 7 | 0 4 2 3 0 3 1 2 -1 -1 -1 -1,0.275944209518298,6189.185690128088,0.011275654953610936,0.006944444444444444,0.175,0.0,0.0,0.22500000000000003
0 0 0 1 1 2 2 3 4 4 5 5 | 0 0 1 3 4 2 -1 -1 -1 -1 -1 -1,0.21550728615520282,6790.826874607959,0.015034206604814582,0.018518518518518517,0.16666666666666666,0.07030070320048225,0.0,0.26666666666666666
0 0 0 1 1 1 2 2 2 3 4 5 | 4 0 1 1 2 1 -1 -1 -1 -1 -1 -1,0.2532403439153439,6777.654745796359,0.0529423216202776,0.018518518518518517,0.3333333333333333,0.0,0.013329679553648305,0.26666666666666666
0 0 1 2 2 2 2 3 3 4 5 6 | 4 3 3 3 4 4 0 -1 -1 -1 -1 -1,0.23629862351190475,5756.564104572349,0.04981233989559118,0.015873015873015872,0.34285714285714286,0.0,0.01565205547750003,0.2571428571428572
0 0 0 1 1 2 2 2 3 4 5 6 | 4 3 2 4 1 2 4 -1 -1 -1 -1 -1,0.24144338624338618,6757.139776824617,0.01828049000306534,0.023809523809523808,0.17142857142857143,0.017112080464379804,0.0,0.2285714285714286
0 1 2 3 4 4 4 4 4 5 6 7 | 3 1 0 4 1 1 0 2 -1 -1 -1 -1,0.2328305155974427,6186.988579152247,0.002369857346767465,0.006944444444444444,0.35,0.0,0.030921259502650626,0.25
0 0 0 0 0 1 1 1 1 1 1 2 | 2 0 1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.23644972718253968,6630.655786912828,0.10371545299012737,0.037037037037037035,0.6666666666666666,0.0,0.1623662335520831,0.4666666666666666
0 0 0 0 0 0 0 1 1 1 1 1 | 4 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.23512855489417983,6356.257306172631,0.2193015332687095,0.05555555555555555,0.7,0.0,0.21117158311611328,0.4
0 0 0 0 1 2 3 3 4 5 5 5 | 4 0 2 4 1 1 -1 -1 -1 -1 -1 -1,0.2121508432539682,6212.984768156546,0.034939088120059025,0.02314814814814815,0.16666666666666666,0.0,0.0,0.2333333333333333
0 0 0 1 1 2 3 3 4 4 5 5 | 2 3 3 2 0 1 -1 -1 -1 -1 -1 -1,0.257486824156746,6340.892945163671,0.021327238336909565,0.018518518518518517,0.16666666666666666,0.0,0.0,0.26666666666666666
0 0 1 1 1 2 2 3 3 3 4 5 | 4 3 2 3 1 1 -1 -1 -1 -1 -1 -1,0.32444077380952374,6187.617743172146,0.029769245947900164,0.009259259259259259,0.5,0.0,0.005401573677023229,0.3
0 0 1 1 2 2 3 3 3 4 5 6 | 2 1 2 2 0 2 2 -1 -1 -1 -1 -1,0.21872453703703704,6596.823174287034,0.0061258605103112285,0.023809523809523808,0.34285714285714286,0.017112080464379804,0.0,0.2571428571428572
0 0 1 1 1 2 2 2 2 3 4 5 | 4 1 3 3 4 2 -1 -1 -1 -1 -1 -1,0.28712008515211634,6323.494821604043,0.023841743531484178,0.013888888888888888,0.5,0.0,0.026927025548663133,0.3
0 0 1 1 2 2 3 3 4 5 6 7 | 1 2 4 0 4 2 0 3 -1 -1 -1 -1,0.21128664296737212,6287.678531272763,0.005360127946522325,0.013888888888888888,0.35,0.0,0.0,0.22500000000000003
0 1 1 2 2 2 2 3 4 4 5 6 | 0 0 3 3 2 3 0 -1 -1 -1 -1 -1,0.2423879862902337,5676.082757500095,0.04981233989559118,0.011904761904761904,0.34285714285714286,0.0,0.01565205547750003,0.2857142857142857
0 0 0 0 1 1 1 1 1 2 3 3 | 0 4 0 2 -1 -1 -1 -1 -1 -1 -1 -1,0.27623059964726626,6392.525553189597,0.04385315097331288,0.027777777777777776,0.44999999999999996,0.0,0.03232409618764579,0.39999999999999997
0 1 1 2 2 3 4 4 5 5 5 6 | 3 0 1 3 3 4 2 -1 -1 -1 -1 -1,0.20444192019400353,5717.913540739029,0.012886462804126784,0.015873015873015872,0.17142857142857143,0.0,0.0,0.2571428571428572
0 1 1 1 2 2 2 3 4 4 4 4 | 3 0 1 1 4 -1 -1 -1 -1 -1 -1 -1,0.18742968474426808,6709.658443838757,0.02447689510525162,0.02222222222222222,0.32,0.0,0.015617476706181998,0.36
0 0 0 0 1 1 1 1 1 2 2 3 | 4 2 2 1 -1 -1 -1 -1 -1 -1 -1 -1,0.12568032407407406,6551.365048793567,0.05240863218008854,0.05555555555555555,0.44999999999999996,0.0,0.058308727642754056,0.35
0 0 1 1 2 3 3 3 4 4 5 6 | 4 4 4 1 3 3 0 -1 -1 -1 -1 -1,0.28951577380952376,5871.982243280119,0.01180046539522612,0.011904761904761904,0.17142857142857143,0.0,0.0,0.2571428571428572
0 0 0 1 2 3 3 4 5 6 6 7 | 0 2 1 0 1 2 1 4 -1 -1 -1 -1,0.26949106591710753,6699.83900878887,0.0,0.010416666666666666,0.0,0.0,0.0,0.17500000000000002
0 0 0 0 1 2 2 2 3 3 3 4 | 2 0 1 1 1 -1 -1 -1 -1 -1 -1 -1,0.20576691468253966,6359.342614655367,0.0350825207786503,0.02222222222222222,0.16,0.0,0.0,0.27999999999999997
0 0 0 1 1 1 1 2 3 3 3 3 | 2 4 0 2 -1 -1 -1 -1 -1 -1 -1 -1,0.15323819444444442,6644.042473676883,0.08717159481728456,0.048611111111111105,0.3,0.09575190666454689,0.02723542322015813,0.35
0 0 0 0 0 1 1 1 2 2 3 4 | 4 0 0 2 2 -1 -1 -1 -1 -1 -1 -1,0.24783194444444442,6387.662055636714,0.0563892199486389,0.02777777777777778,0.8,0.0,0.038437941319936796,0.31999999999999995
