Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
0 0 0 0 1 1 2 2 3 3 4 5 | 0 2 4 4 0 3 -1 -1 -1 -1 -1 -1,0.19747162973985888,6333.740394322142,0.029235433982208587,0.018518518518518517,0.3333333333333333,0.0,0.0,0.26666666666666666
0 0 0 1 2 2 3 3 4 5 6 7 | 2 3 2 2 4 2 4 4 -1 -1 -1 -1,0.14493988095238095,6576.513474821807,0.002369857346767465,0.024305555555555556,0.175,0.0,0.0,0.2
0 0 0 1 1 2 3 4 4 5 6 7 | 1 1 4 0 0 1 1 3 -1 -1 -1 -1,0.2843651751267636,6825.443566442341,0.011275654953610936,0.003472222222222222,0.175,0.0,0.0,0.2
0 0 1 1 2 2 3 3 3 4 5 6 | 4 4 3 4 1 2 4 -1 -1 -1 -1 -1,0.2183787367724867,6382.228985147354,0.01180046539522612,0.02777777777777778,0.34285714285714286,0.017112080464379804,0.0,0.2571428571428572
0 0 1 1 2 2 3 3 4 4 5 6 | 0 3 2 0 3 0 2 -1 -1 -1 -1 -1,0.3437680417768959,6017.514204399362,0.01180046539522612,0.0,0.34285714285714286,0.0,0.0,0.2571428571428572
0 0 0 0 0 1 1 1 1 1 1 2 | 3 4 0 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.20886128747795413,6022.320274073858,0.12707898511143412,0.0462962962962963,0.6666666666666666,0.0,0.09162169896430167,0.4666666666666666
0 0 1 2 2 3 4 4 5 5 6 7 | 2 0 2 1 3 3 2 1 -1 -1 -1 -1,0.2716455481150793,5720.265535645747,0.011275654953610936,0.013888888888888888,0.175,0.0,0.0,0.22499999999999998
0 0 0 0 0 0 1 1 2 3 4 5 | 0 0 3 3 1 1 -1 -1 -1 -1 -1 -1,0.351206922398589,6499.47353979361,0.06869881738047366,0.0,1.1666666666666667,0.0,0.07309788303786953,0.26666666666666666
0 0 1 1 1 2 3 3 4 4 5 5 | 4 1 3 1 2 2 -1 -1 -1 -1 -1 -1,0.14721087962962962,6170.500606780437,0.023841743531484178,0.027777777777777776,0.5,0.0,0.026927025548663133,0.3
0 0 0 0 1 1 1 1 2 2 3 4 | 2 2 3 0 0 -1 -1 -1 -1 -1 -1 -1,0.2597201471560846,6623.965684041345,0.0350825207786503,0.02222222222222222,0.32,0.0,0.018788221998946423,0.31999999999999995
0 0 0 0 0 1 1 1 1 1 1 1 | 4 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.29920975529100524,6120.33488097304,0.21505840669544907,0.041666666666666664,0.5,0.0,0.21655975838302827,0.7
0 1 2 2 3 3 3 4 4 5 5 6 | 3 3 4 3 4 0 0 -1 -1 -1 -1 -1,0.24251317515432094,6467.676634297878,0.01180046539522612,0.015873015873015872,0.34285714285714286,0.0,0.0,0.2571428571428572
0 1 2 2 2 2 3 3 3 4 4 5 | 1 2 3 0 2 4 -1 -1 -1 -1 -1 -1,0.20157452601410933,6386.864612841491,0.06248069653780852,0.018518518518518517,0.8333333333333334,0.0,0.04286268341739662,0.3
0 0 0 1 1 1 2 2 2 2 2 3 | 3 4 1 1 -1 -1 -1 -1 -1 -1 -1 -1,0.26753554343033503,6476.822055676204,0.08649314312902326,0.013888888888888888,0.3,0.0,0.0,0.35
0 0 0 1 1 1 1 1 2 2 2 2 | 3 1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.32691270943562606,6679.69010523448,0.10754979682232395,0.0,0.26666666666666666,0.0,0.08757716943272385,0.4666666666666666
0 0 1 2 3 4 4 5 5 6 6 6 | 3 1 0 2 4 0 3 -1 -1 -1 -1 -1,0.3014049506723986,5921.220472842176,0.0,0.003968253968253968,0.0,0.0,0.0,0.22857142857142856
0 0 0 1 1 2 3 3 4 4 5 5 | 0 1 4 3 4 2 -1 -1 -1 -1 -1 -1,0.21579994488536153,6466.339232138629,0.015034206604814582,0.018518518518518517,0.16666666666666666,0.0,0.0,0.26666666666666666
0 1 1 1 1 1 1 1 2 2 3 3 | 1 3 4 2 -1 -1 -1 -1 -1 -1 -1 -1,0.2260912257495591,6046.14409777875,0.103777822971888,0.027777777777777776,0.9,0.0,0.09983391218277876,0.35
0 0 1 2 2 2 3 3 3 4 5 6 | 1 3 3 0 3 3 3 -1 -1 -1 -1 -1,0.3110139123126102,5852.890495681095,0.04942465321658472,0.003968253968253968,0.34285714285714286,0.0,0.0,0.2571428571428572
0 1 1 1 2 2 2 3 3 3 3 4 | 2 0 0 3 1 -1 -1 -1 -1 -1 -1 -1,0.34696121031746024,6572.510637893017,0.02447689510525162,0.005555555555555555,0.32,0.0,0.015617476706181998,0.36
0 0 1 2 2 3 3 3 4 5 5 6 | 3 1 3 2 1 4 0 -1 -1 -1 -1 -1,0.21691568562610228,6047.392256306392,0.01828049000306534,0.015873015873015872,0.17142857142857143,0.0,0.0,0.2285714285714286
0 1 1 2 2 3 3 4 4 5 6 7 | 0 3 0 1 3 1 1 2 -1 -1 -1 -1,0.3225142416225749,6192.319697027618,0.011275654953610936,0.0,0.175,0.0,0.0,0.25
0 1 1 1 2 2 2 2 3 3 4 5 | 1 1 0 4 4 2 -1 -1 -1 -1 -1 -1,0.20656162918871251,6582.183061453978,0.02039741258770968,0.018518518518518517,0.3333333333333333,0.0,0.01859503395240671,0.3333333333333333
0 0 0 1 1 2 2 3 3 3 4 5 | 0 1 0 4 3 3 -1 -1 -1 -1 -1 -1,0.22656099114032183,6728.172150448906,0.015034206604814582,0.018518518518518517,0.16666666666666666,0.0,0.0,0.26666666666666666
0 0 0 0 0 1 1 1 1 1 2 2 | 4 3 1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2932164021164021,6006.846504315996,0.11357671935007274,0.027777777777777776,0.6666666666666666,0.0,0.064063235533228,0.5333333333333333
0 0 0 1 1 1 2 2 2 3 3 3 | 4 4 3 0 -1 -1 -1 -1 -1 -1 -1 -1,0.3001899553571428,6711.090793491756,0.08649314312902326,0.020833333333333332,0.3,0.0,0.0,0.35
0 0 1 1 2 2 3 3 4 4 5 6 | 1 3 0 0 0 2 4 -1 -1 -1 -1 -1,0.291952590388007,6139.408398364032,0.01180046539522612,0.007936507936507936,0.34285714285714286,0.0,0.0,0.2571428571428572
0 0 1 1 2 3 3 3 3 4 4 4 | 4 0 4 3 4 -1 -1 -1 -1 -1 -1 -1,0.23508417245370367,6003.4638881969795,0.00857620471443572,0.02222222222222222,0.16,0.0,0.0,0.32
0 1 1 1 1 2 3 3 4 4 5 6 | 0 1 4 2 2 3 1 -1 -1 -1 -1 -1,0.19116857491457231,6397.1148340117925,0.029620345134282768,0.015873015873015872,0.6857142857142857,0.0,0.03366252245372054,0.2857142857142857
0 0 0 0 1 1 1 2 2 2 3 3 | 4 4 0 2 -1 -1 -1 -1 -1 -1 -1 -1,0.23488078703703702,6311.0108849274675,0.05240863218008854,0.034722222222222224,0.3,0.0,0.0,0.4
0 0 0 1 2 3 3 3 4 4 5 5 | 0 0 4 2 0 2 -1 -1 -1 -1 -1 -1,0.2842849977954144,6329.778963597305,0.0,0.013888888888888888,0.0,0.0,0.0,0.26666666666666666
0 0 1 2 2 3 4 4 5 5 6 6 | 2 4 1 4 1 3 0 -1 -1 -1 -1 -1,0.29307993551587297,5707.839467030497,0.012886462804126784,0.007936507936507936,0.17142857142857143,0.0,0.0,0.2571428571428572
0 0 1 1 2 2 3 4 4 5 6 7 | 3 4 1 0 3 1 4 1 -1 -1 -1 -1,0.30644658427028215,6229.359166654092,0.010325407220822855,0.006944444444444444,0.35,0.0,0.0,0.225
0 0 0 1 1 1 1 1 1 2 2 3 | 3 4 3 3 -1 -1 -1 -1 -1 -1 -1 -1,0.26769412606095677,6193.129770311696,0.11073164052583875,0.027777777777777776,0.45,0.0,0.06387602411179664,0.35
0 0 0 0 1 1 1 1 1 1 1 1 | 4 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.13956577380952379,6132.294994943661,0.22060376605857218,0.1111111111111111,0.4,0.0,0.20612816725283825,0.7
0 0 1 1 1 2 2 2 3 3 3 4 | 4 1 0 3 4 -1 -1 -1 -1 -1 -1 -1,0.3274820436507936,6409.4784634330035,0.028610092237781014,0.01111111111111111,0.48,0.0,0.03231243065839576,0.32
0 1 1 1 1 2 2 3 3 4 5 5 | 0 1 0 0 1 0 -1 -1 -1 -1 -1 -1,0.2808434661596119,6797.639066618317,0.03455706932332989,0.004629629629629629,0.6666666666666666,0.0,0.039272942862673965,0.3333333333333333
0 1 1 1 2 2 3 4 5 5 5 6 | 2 2 2 1 1 3 1 -1 -1 -1 -1 -1,0.28200585317460314,6311.3588148102535,0.017483496503751157,0.011904761904761904,0.34285714285714286,0.0,0.0,0.2571428571428572
0 0 0 0 0 0 1 2 2 2 3 3 | 1 1 0 2 -1 -1 -1 -1 -1 -1 -1 -1,0.2598918099647266,6349.153093952771,0.10304822607071049,0.013888888888888888,1.05,0.0,0.10964682455680429,0.4
