Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
0 0 0 1 1 2 3 4 5 6 7 8 | 4 3 1 3 4 2 2 2 4 -1 -1 -1,0.1544901455026455,6613.318088067199,0.014218158891273043,0.02160493827160494,0.17777777777777778,0.0,0.0,0.17777777777777778
0 0 0 0 1 2 2 2 3 4 4 5 | 2 3 2 0 2 4 -1 -1 -1 -1 -1 -1,0.14711600529100527,6486.033741067882,0.029235433982208587,0.03240740740740741,0.16666666666666666,0.0,0.0,0.2333333333333333
0 0 1 2 2 2 2 3 3 3 4 4 | 3 2 3 3 4 -1 -1 -1 -1 -1 -1 -1,0.34037763585758374,5501.488689180838,0.06973727585382765,0.005555555555555555,0.32,0.0,0.021912877668500044,0.36
0 0 0 1 1 1 1 2 2 2 3 3 | 1 0 1 4 -1 -1 -1 -1 -1 -1 -1 -1,0.2967930335097001,6604.278933707955,0.08012131030414912,0.013888888888888888,0.3,0.0,0.05995481450829003,0.4
0 1 1 1 2 2 2 2 2 3 3 3 | 0 1 0 4 -1 -1 -1 -1 -1 -1 -1 -1,0.21073871252204585,6779.8709901221355,0.03059611888156452,0.020833333333333332,0.44999999999999996,0.0,0.06184251900530125,0.44999999999999996
0 0 0 0 0 1 1 1 1 1 1 1 | 4 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.29920975529100524,6120.33488097304,0.21505840669544907,0.041666666666666664,0.5,0.0,0.21655975838302827,0.7
0 0 0 1 1 2 2 2 2 3 4 5 | 2 0 3 2 4 2 -1 -1 -1 -1 -1 -1,0.22212286292989414,6656.183347235175,0.015034206604814582,0.018518518518518517,0.16666666666666666,0.0,0.0,0.26666666666666666
0 0 1 1 2 2 3 4 4 4 5 5 | 0 2 3 4 2 1 -1 -1 -1 -1 -1 -1,0.19058068231922395,6098.236099626243,0.0071468372620297664,0.02314814814814815,0.3333333333333333,0.0,0.0,0.3
0 0 0 1 1 1 1 1 1 2 2 2 | 4 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2574616319444444,6868.005505343939,0.13960197221516335,0.027777777777777776,0.39999999999999997,0.0,0.11958366941722469,0.4666666666666666
0 0 1 2 3 3 4 4 5 5 6 7 | 1 4 4 3 2 3 2 0 -1 -1 -1 -1,0.2981082906194885,5625.810985270793,0.002369857346767465,0.010416666666666666,0.175,0.0,0.0,0.22499999999999998
0 0 0 0 1 1 1 1 1 2 2 3 | 1 4 0 4 -1 -1 -1 -1 -1 -1 -1 -1,0.27109342206790116,6543.595167479325,0.04385315097331288,0.020833333333333332,0.44999999999999996,0.0,0.03232409618764579,0.35
