Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
0 0 0 1 1 1 2 2 3 4 4 5 | 3 0 3 4 0 4 -1 -1 -1 -1 -1 -1,0.29537890487213403,6551.10785217564,0.0529423216202776,0.009259259259259259,0.3333333333333333,0.0,0.013329679553648305,0.2333333333333333
0 0 0 0 0 1 1 1 1 2 3 3 | 1 3 2 4 -1 -1 -1 -1 -1 -1 -1 -1,0.2585426160163139,6532.469643522979,0.0627137958979869,0.013888888888888888,0.75,0.03160282461688223,0.074332548084749,0.39999999999999997
0 0 0 1 1 2 3 3 4 5 6 7 | 3 4 0 3 3 2 2 4 -1 -1 -1 -1,0.2714184758046737,6502.509578123919,0.015995428752682173,0.010416666666666666,0.175,0.0,0.0,0.2
0 1 2 3 3 3 3 4 4 5 6 6 | 0 4 4 4 4 0 4 -1 -1 -1 -1 -1,0.2317740299823633,5740.252446573377,0.04981233989559118,0.02380952380952381,0.34285714285714286,0.0,0.015563098982947502,0.2857142857142857
0 0 1 2 3 4 4 5 6 6 7 8 | 0 0 4 0 1 0 4 4 2 -1 -1 -1,0.1754218364197531,5572.627119842447,0.0021065398637933022,0.0154320987654321,0.0,0.0,0.0,0.20000000000000004
0 1 1 1 1 2 2 3 3 4 5 6 | 2 3 3 1 3 1 4 -1 -1 -1 -1 -1,0.2626642361111111,6545.214362118256,0.03431988480421956,0.007936507936507936,0.6857142857142857,0.0,0.01703809396240253,0.2857142857142857
0 0 0 0 0 0 1 1 1 1 2 2 | 2 0 2 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.23214103835978833,6453.994692565581,0.13739763476094732,0.0462962962962963,0.9333333333333332,0.0,0.14282243045312099,0.5333333333333333
0 1 2 2 2 2 3 4 4 4 5 5 | 2 1 4 4 2 0 -1 -1 -1 -1 -1 -1,0.1680381861772487,5914.092861748793,0.06248069653780852,0.02777777777777778,0.8333333333333334,0.0,0.042784998325307466,0.3333333333333333
0 0 0 0 1 1 1 1 2 3 4 5 | 0 4 0 1 4 4 -1 -1 -1 -1 -1 -1,0.28191208112874777,6690.455822111988,0.029235433982208587,0.013888888888888888,0.3333333333333333,0.019964093875109768,0.0,0.26666666666666666
0 0 0 0 1 2 3 3 4 5 5 6 | 4 0 3 2 1 3 3 -1 -1 -1 -1 -1,0.23980683283730156,6004.874354559695,0.02994778981719345,0.019841269841269844,0.17142857142857143,0.0,0.0,0.19999999999999998
0 0 1 1 2 3 4 4 5 5 6 7 | 1 2 1 1 1 4 1 2 -1 -1 -1 -1,0.17655621141975308,5769.414220804272,0.005360127946522325,0.013888888888888888,0.175,0.0,0.0,0.22500000000000003
0 1 1 1 1 1 2 2 2 3 3 3 | 1 1 2 3 -1 -1 -1 -1 -1 -1 -1 -1,0.2502051489886464,6797.119266534415,0.09643374262303053,0.020833333333333332,0.9,0.0,0.09997179590714154,0.44999999999999996
0 0 1 2 2 3 4 4 4 5 5 6 | 0 3 4 4 0 4 3 -1 -1 -1 -1 -1,0.2139143959435626,6022.08668452334,0.01828049000306534,0.015873015873015872,0.17142857142857143,0.0,0.0,0.2285714285714286
0 0 0 0 0 1 1 1 1 2 2 2 | 3 3 0 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.3554729690255731,6466.814941644981,0.09398203324773151,0.0,0.6666666666666666,0.0,0.06422909397676048,0.4666666666666666
0 0 0 1 2 2 2 3 3 3 3 3 | 0 4 0 3 -1 -1 -1 -1 -1 -1 -1 -1,0.3457270612874779,6822.981282737009,0.00473971469353493,0.006944444444444444,0.15,0.0,0.019521845882727498,0.35000000000000003
0 0 1 1 2 2 3 3 4 5 6 7 | 2 4 3 3 1 0 4 1 -1 -1 -1 -1,0.2562366071428571,6167.551571016789,0.010325407220822855,0.017361111111111112,0.35,0.014973070406332327,0.0,0.22500000000000003
0 0 0 0 1 1 1 1 2 3 3 3 | 2 1 4 2 -1 -1 -1 -1 -1 -1 -1 -1,0.13032152777777778,7029.892975333461,0.04385315097331288,0.04861111111111111,0.3,0.0,0.027892550928610062,0.35
0 1 1 1 2 2 2 3 4 4 5 6 | 2 4 2 1 1 2 0 -1 -1 -1 -1 -1,0.22087923280423277,6552.610863467918,0.022686738174752974,0.019841269841269844,0.34285714285714286,0.0,0.008529731355034237,0.2857142857142857
0 0 0 1 2 2 3 3 4 4 5 5 | 1 1 2 3 4 1 -1 -1 -1 -1 -1 -1,0.21690455798059963,6434.068811017923,0.0,0.013888888888888888,0.16666666666666666,0.0,0.0,0.26666666666666666
