Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
000101000100000000000101000000010000001100000101000101000001,1916,0.28109562335103355,4491.392983354363,0.06446716017055795,0.0,0.14,0.024301122551996762,0.010963831763683264,0.46
010010011101101011011111101101101010010110001101010010100101,356,0.10411712387772429,19339.313249445197,0.5952727974254317,0.011111111111111112,1.42,0.007490493050352154,0.33650976704540814,0.9
000001001100000000000100010100100110110001000101000101000101,884,0.19384062595950693,7536.090626352561,0.24910310655676393,0.005555555555555556,0.16,0.0,0.013090199056375488,0.16
000101000100000000000000010000100100001100000101000101000001,1676,0.27923160405181796,4086.9469687635133,0.12908594563914985,0.0,0.0,0.024301122551996762,0.0,0.44
100100001001010111011101000100101010000111000100101101100100,314,0.07448693243762881,14724.946144375503,0.7011467575805885,0.011111111111111112,1.04,9.012846368693928E-4,0.24826669134223622,0.92
000001001100000000000101000000000100011100000101000101000101,1314,0.2545547436471678,5270.227253103878,0.09085393649622871,0.0,0.1,0.0,0.004391350224379023,0.2
000101011100100100011101101101111001101011000101110001110110,0,0.0985652879160776,16698.3787336566,0.6643519122785209,0.011111111111111112,0.9,0.0033698696903893266,0.30535227894319805,0.8
000001000100000000001101010000000110011110010001110111000101,1152,0.1952091159552629,9117.707216444833,0.35455590332466175,0.005555555555555556,0.42,0.0,0.06548522997581094,0.2
000000100000000000000000100000010000001100000101000101000001,2364,0.26546969883797433,3033.8501883362605,0.02872311194130468,0.0,0.16,0.022926110094536545,0.0,0.16
000001001000000010000000000000000000011100000100000101000001,1500,0.20561209920742507,2962.8004768654264,0.17806680502433786,0.0,0.0,0.11925762713249766,0.0,0.08
000001000100000000000101000000000100011100000101000011000001,1800,0.25299150450613483,4563.597791262614,0.08542020960583438,0.0,0.0,0.0,0.0,0.16
100001001100000000001100010100100110011110110101000101000101,1106,0.24378407250875772,9690.469753596788,0.2962670202456811,0.011111111111111112,0.46,0.007407812180352524,0.07882142016255424,0.38
000001001100000000000110010100010001111100100000101101000101,736,0.2503524565479798,7728.854750993465,0.23339546649683598,0.005555555555555556,0.38,0.0,0.07255276487782304,0.16
001001000100000001000100000100100111011100100000000111000101,1004,0.21915919602470446,6304.478970031564,0.15843008625794056,0.005555555555555556,0.0,0.016039483833114987,0.07238293339118018,0.3
000111000010110110110010010100001010100101001111101110101111,0,0.06526492216047641,16233.986078546255,0.7556586567650776,0.011111111111111112,0.68,0.008209005564656452,0.27145440299418033,1.4
000001001110000000000100010100100110111100000101000101000101,944,0.23619595943255614,7409.584263241686,0.23205270937019024,0.0,0.14,0.0,0.050428453929750164,0.44
000001000100000000001100000000000110001100100001000111000101,1124,0.21126399636243387,5358.440671940757,0.1014979684742237,0.005555555555555556,0.12,0.013309066370790323,0.0,0.12
011001000000000011111011000000111010101111101110000011010101,0,0.07756872520617678,14293.333987109276,0.7128525738687509,0.022222222222222223,0.62,0.03390071087603694,0.15144851139552012,0.6
000000010000000100000000000000000100011110000101000101000001,1842,0.23154639095191407,3653.60232179536,0.20599183430434564,0.005555555555555556,0.0,0.013309066370790323,0.0,0.2
011101110111101100101001010110100101000000111000110010010011,0,0.10488921921218064,17095.19789664954,0.5609549022285321,0.011111111111111112,1.32,0.0,0.2835063985968652,1.54
000001000000100110000110101010010100000110100001011101010100,494,0.08783750663627268,12608.991321925896,0.513375960028623,0.011111111111111112,0.66,0.008727567938652397,0.17928061202492934,0.46
000001000100000000000101010000110000001100000101000101000001,2182,0.2887069126937932,5030.918399732529,0.12908594563914985,0.0,0.0,0.024301122551996762,0.010963831763683264,0.24
000001000100000000000100010100101110011100100000101101000101,878,0.25015566481182877,7760.451558329565,0.1926675342019551,0.005555555555555556,0.0,0.0,0.04095701056234051,0.12
001001000000000000000100000000100110011110000101000101000101,914,0.2286153995164222,5175.1045536826305,0.1632086277845151,0.005555555555555556,0.0,0.018161925335799578,0.0,0.42
111111011000110000000011110101000010101100010011001000010110,0,0.13569491500440684,13640.464899163399,0.438507795856952,0.0,1.16,0.009684329342375397,0.21493641191780588,1.02
001001000110000000001100010100101110011110110000101100000000,690,0.17022362416094627,10138.56402800219,0.30781763113951843,0.011111111111111112,0.74,0.0,0.11209785947857145,0.6
000001000100000000001101010000000100011100000101001101000001,1326,0.2854836572080659,6621.341367563807,0.14471051364530257,0.0,0.22,0.0,0.05612870673924394,0.22
000101000100000000000000000000000100011000000101000101001001,1960,0.27190385394397076,3067.7952098646233,0.06664051583275343,0.0,0.0,0.0,0.0,0.42
000001000100000000000000000001100100011100000101000101000001,1532,0.21542013632642779,4414.602765907893,0.1344154540582541,0.0,0.0,0.03844119501574897,0.0,0.24
000001000100000000000000000000000100011000000101000001000001,2018,0.23111265427741434,2361.0456800246766,0.08330064479094179,0.0,0.0,0.016636332963487904,0.0,0.2
000101000101000000000100010000000100011100000101000101000001,1802,0.26952651796367855,5860.886250409312,0.13065235745556952,0.0,0.16,0.0,0.04597386752384199,0.68
100000000100000000000100000000100110011100000101000101000001,1848,0.2491371091020543,3998.474069554632,0.06183620827505809,0.0,0.0,0.025480089066851896,0.0,0.42
100001000100000000000100010000000110011110010101100101000111,1050,0.2566095932504734,7141.215870937781,0.2849959090583004,0.005555555555555556,0.0,0.04659111220831946,0.0037733494141575464,0.48
000101000100000000000101000000100110011100000101000101000101,1494,0.2717737190466353,6048.597572709743,0.09269313153672065,0.0,0.14,0.0,0.00462697265643105,0.44
001001000100000000000100010001011001101000110101010110100000,502,0.17855894421473628,7369.264942677759,0.34029137220643296,0.005555555555555556,0.0,0.0,0.018231205185903984,0.54
