Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
010000001100001000100000000010100011111100010001100111010000,0.2762934596651743,5816.414200460358,0.20215314244916843,0.0,0.0,0.03149413060405451,0.03650446488897203,0.62
010000001100000000100000000010100011111100010001100111010000,0.2755295707762855,5393.37295707041,0.20215314244916843,0.0,0.0,0.0156512114135465,0.03650446488897203,0.44
010000001100000000000000000000110011110100000001100101010110,0.2671009986416772,4616.85045273646,0.12273074622051391,0.0,0.0,0.04659111220831946,0.0,0.48
010000001110001000100000000010100011111000010001100111010000,0.2762934596651743,6283.210032195297,0.20215314244916843,0.0,0.0,0.0156512114135465,0.049526269032150357,0.72
011000001000000000000000000000110000111100000010001000110000,0.25548898897809846,3199.612239932551,0.046813522128886634,0.0,0.0,0.010347060494755922,0.0,0.42
011000001000000000000000000000110001111100000010001000110000,0.25548898897809846,3269.752484287459,0.046813522128886634,0.0,0.0,0.010347060494755922,0.0,0.46
010000001100000000100000000010100011111100010001100111010000,0.2755295707762855,5393.37295707041,0.20215314244916843,0.0,0.0,0.04714534201760101,0.03650446488897203,0.44
010000001100001000100000000010100011111100010001100111010000,0.2762934596651743,5816.414200460358,0.20215314244916843,0.0,0.0,0.0156512114135465,0.03650446488897203,0.62
010000001100000000000000000010100011111100010001100111010000,0.2785413101228558,4817.547792476248,0.1740457415216818,0.0,0.0,0.03149413060405451,0.004870557533597045,0.44
010010001100000000000000000000110011111100010001100111010000,0.2772261280212287,5195.388566104199,0.14549769591280695,0.0,0.0,0.03149413060405451,0.0,0.58
010100001100000000000000000010100011111100010001100111110000,0.27796721015681386,5191.31556982931,0.1777077745276636,0.0,0.0,0.04714534201760101,0.02294651117682583,0.6
011000001000000000000000000000100000001100000011000000110000,0.2241337325113027,2015.8546288804187,0.08658444514525714,0.0,0.0,0.0,0.0,0.44
011000011000000000000000000000100000001100000010001000110000,0.25760495768773084,2624.5457983246033,0.04329222257262857,0.0,0.0,0.0,0.0,0.5
010000001100000000000000000010100011111100010001100111010000,0.2785413101228558,4817.547792476248,0.1740457415216818,0.0,0.0,0.04714534201760101,0.004870557533597045,0.44
