Architecture,NFE,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
000100000000010000000010000100010001110100011100010111101010,1380,0.2648196957544086,7424.187267700165,0.23423213749458985,0.005555555555555556,0.3,0.0,0.07316292970760184,0.7
010000000100100000000000000000010001111100011100010110101000,1456,0.27071667368943686,5651.48196403305,0.126718002139726,0.005555555555555556,0.0,0.0,0.002782970436011437,0.58
100110011010000000100000100000010001110100011100010110101010,1112,0.22868345605659263,7672.516102690311,0.3359098917051541,0.005555555555555556,0.26,0.018393934411679552,0.018106695598047874,0.94
100110110000000000100110000000010001101100000000100101110010,1188,0.20065935645094057,7123.876009125218,0.15469219479206606,0.0,0.24,0.0417263083283384,0.03595795748855287,0.52
010110010010010001000000000100111110011100001000110011110010,976,0.19156750267589628,9342.805462715505,0.35138913561476104,0.005555555555555556,0.0,0.0,0.10717969598670973,0.92
111101000000000001000000000000010001011100101000100011110010,686,0.18331270926956367,6511.623723611861,0.2238200812397459,0.011111111111111112,0.0,0.012421568308369824,0.0,0.42
011001001000010001000000000000000011101100000000100101010010,1144,0.23679514140958727,4920.347860791162,0.2245785896624326,0.0,0.0,0.04676913024346724,0.027664555139789847,0.82
100110111000000101010100110111101010001110101101000000110111,398,0.11296730273833755,15585.31257506998,0.5761476720125652,0.016666666666666666,0.56,0.023406207448093547,0.2402026000432067,0.86
000000100100000000000000000000010001111000000000000001101000,2268,0.17991688574735448,1728.8708429841809,0.0,0.0,0.0,0.07619390038613244,0.0,0.02
000110000000010001000001011000001001011101000010011100111000,454,0.16210804918357685,9312.411822303866,0.3694901927979263,0.005555555555555556,0.3,7.485839791910587E-4,0.04847478334282375,0.48
000000100100000000000000000000000011101100000000101101010001,2912,0.24236848107107792,2687.6567883874422,0.052686579851417725,0.0,0.0,0.0,0.0,0.075
000000100100000000000000000000000011101100000000101101010000,2300,0.24236848107107792,2424.088788229585,0.052686579851417725,0.0,0.0,0.0,0.0,0.075
010110110000000000100000000001010001101100001000000111110010,952,0.20357277714581462,6427.148071931165,0.24304949313501473,0.005555555555555556,0.0,0.03325589539703008,0.0,0.26
101000000000010000000010000000010001110100011100010001101010,1286,0.2222392830515611,6404.383187024923,0.17413967218003548,0.005555555555555556,0.28,0.0,0.02370419228238451,0.62
000000000000010000000011000001010001010100011100010111101000,1752,0.2693042895073671,6536.01418417456,0.20263858620789604,0.005555555555555556,0.4,0.0,0.04564246053596483,0.4
101000000000010000000000000000010011101100000000100111111110,1136,0.22478305285149852,4758.604117957562,0.07744279500445803,0.0,0.0,0.03148174716694563,0.01080294635817346,0.78
010001011110000011100001101000001101011101010100110101111111,0,0.10269883806941099,14219.206887946324,0.6424663382851371,0.005555555555555556,0.5,0.004707822705449893,0.1852382875719761,0.98
