Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
000000000000000000000000000000010001110100011100010111101010,0.25805618425802884,4291.984368825998,0.1144273506243787,0.005555555555555556,0.0,0.0,0.0,0.2
000000000000000000000000000000010001100100011100010101101010,0.25805618425802884,3975.295721513171,0.14303418828047337,0.006944444444444444,0.0,0.0,0.0,0.175
000000000000000000000000000000010001110100011100010111101010,0.25805618425802884,4291.984368825998,0.1144273506243787,0.005555555555555556,0.0,0.0,0.0,0.2
000000000000000000000000000000011001100100011100010101101010,0.25805618425802884,4349.575050155745,0.1144273506243787,0.005555555555555556,0.0,0.0,0.0,0.14
000000000000000000000000000000010001110100011100010111101000,0.2647952594863174,3834.059884193878,0.1144273506243787,0.005555555555555556,0.0,0.0,0.0,0.2
000000000000100000000000000000010001110100011100010111101000,0.2678739631900211,4353.719627456323,0.1144273506243787,0.005555555555555556,0.0,0.025184528742374673,0.0,0.34
000000000000001000000000000000010001110100011100010111101000,0.2657970105362362,4576.196646332303,0.12354043197192237,0.005555555555555556,0.14,0.025184528742374673,0.0027170153059539277,0.34
000000000000000000000000000000010001110100011100010111101000,0.2647952594863174,3834.059884193878,0.1144273506243787,0.005555555555555556,0.0,0.025184528742374673,0.0,0.2
000000000000000000000000000000010001110100011100010111101000,0.2647952594863174,3834.059884193878,0.1144273506243787,0.005555555555555556,0.0,0.0,0.0,0.2
000000000000000000000000000000010001110100011100010111101000,0.2647952594863174,3834.059884193878,0.1144273506243787,0.005555555555555556,0.0,0.025184528742374673,0.0,0.2
000000000000000000000000000000010001110100011100010111101000,0.2647952594863174,3834.059884193878,0.1144273506243787,0.005555555555555556,0.0,0.0,0.0,0.2
000000000000100000000000000000011001110100011100010111101000,0.2678739631900211,4677.927468326967,0.1144273506243787,0.005555555555555556,0.0,0.0,0.016866212463598915,0.32
000000000000100000000000000000010001110100011100010111101000,0.2678739631900211,4353.719627456323,0.1144273506243787,0.005555555555555556,0.0,0.025184528742374673,0.0,0.34
011001000000100000000000000000110001101100000000100101010010,0.2578211025067974,3889.4575073560272,0.06110575915180381,0.0,0.0,0.0843953615582553,0.0,0.82
000000000000000000000000000000010001110100011100010111101000,0.2647952594863174,3834.059884193878,0.1144273506243787,0.005555555555555556,0.0,0.025184528742374673,0.0,0.2
000000000000000000000000000000010001110100011100010111101000,0.2647952594863174,3834.059884193878,0.1144273506243787,0.005555555555555556,0.0,0.0,0.0,0.2
000000000000100000000000000000010001110100011100010111101000,0.2678739631900211,4353.719627456323,0.1144273506243787,0.005555555555555556,0.0,0.0,0.0,0.34
010000000000000000000000000100010001111100011100010111101000,0.2846028818463871,6170.587486654275,0.13768062641304726,0.005555555555555556,0.0,0.012325659393900373,0.002782970436011437,0.36
000000000000000000000000000000010001110100011100010111101000,0.2647952594863174,3834.059884193878,0.1144273506243787,0.005555555555555556,0.0,0.025184528742374673,0.0,0.2
011000000000000000000000000100010001111100011100010111101000,0.2829927405472774,6472.59793321519,0.16410345798818088,0.005555555555555556,0.0,0.0,0.002782970436011437,0.5
010000000000000000000000000100010001110100011100010101101010,0.2788658054925441,6220.120914596947,0.1158672245439509,0.005555555555555556,0.0,0.0,0.002782970436011437,0.28
000000000000000000000000000000001011101100000000100101010000,0.22446553495293026,2260.996815534698,0.04214926388113418,0.0,0.0,0.0,0.0,0.02
000000000000000000000010000000010001110100011100010101101000,0.2647952594863174,4208.538097128722,0.1144273506243787,0.005555555555555556,0.0,0.02948751627848961,0.0,0.14
000000000000000000000000000000110001101100011100010111101000,0.2650728918869214,4401.589861805389,0.11717506798797243,0.005555555555555556,0.0,0.012325659393900373,0.0,0.2
100000000000000000000000000000110001110100011100010111101000,0.2568793028927041,4685.3110592457815,0.1447059611204175,0.005555555555555556,0.0,0.0,0.0,0.3
000000000000000000000000000000010001110100011100010111101000,0.2647952594863174,3834.059884193878,0.1144273506243787,0.005555555555555556,0.0,0.025184528742374673,0.0,0.2
010000000000000000000000000100010011101100000000100101010000,0.253885188003381,3383.0465256734933,0.04214926388113418,0.0,0.0,0.0,0.0,0.14
000001000000000000000000000000010001111000000000100111001000,0.23132516096525785,2331.9324679591773,0.052686579851417725,0.0,0.0,0.0,0.0,0.1
000000000000000000000000000000010101101100011100010111001000,0.26521266001657995,4098.984050708966,0.10718704895506304,0.005555555555555556,0.0,0.0,0.0,0.24
000000000000000000000000000100010101101100011100010111001000,0.27610602704469095,5175.639917522287,0.12842410285272826,0.005555555555555556,0.0,0.0,0.0,0.24
